cbsa.code	cbsa.name
10100	"Aberdeen, SD Micro Area"
10140	"Aberdeen, WA Micro Area"
10180	"Abilene, TX Metro Area"
10220	"Ada, OK Micro Area"
10260	"Adjuntas, PR Micro Area"
10300	"Adrian, MI Micro Area"
10380	"Aguadilla-Isabela, PR Metro Area"
10420	"Akron, OH Metro Area"
10460	"Alamogordo, NM Micro Area"
10500	"Albany, GA Metro Area"
10540	"Albany, OR Metro Area"
10580	"Albany-Schenectady-Troy, NY Metro Area"
10620	"Albemarle, NC Micro Area"
10660	"Albert Lea, MN Micro Area"
10700	"Albertville, AL Micro Area"
10740	"Albuquerque, NM Metro Area"
10780	"Alexandria, LA Metro Area"
10820	"Alexandria, MN Micro Area"
10860	"Alice, TX Micro Area"
10900	"Allentown-Bethlehem-Easton, PA-NJ Metro Area"
10940	"Alma, MI Micro Area"
10980	"Alpena, MI Micro Area"
11020	"Altoona, PA Metro Area"
11060	"Altus, OK Micro Area"
11100	"Amarillo, TX Metro Area"
11140	"Americus, GA Micro Area"
11180	"Ames, IA Metro Area"
11220	"Amsterdam, NY Micro Area"
11260	"Anchorage, AK Metro Area"
11380	"Andrews, TX Micro Area"
11420	"Angola, IN Micro Area"
11460	"Ann Arbor, MI Metro Area"
11500	"Anniston-Oxford-Jacksonville, AL Metro Area"
11540	"Appleton, WI Metro Area"
11580	"Arcadia, FL Micro Area"
11620	"Ardmore, OK Micro Area"
11640	"Arecibo, PR Metro Area"
11660	"Arkadelphia, AR Micro Area"
11680	"Arkansas City-Winfield, KS Micro Area"
11700	"Asheville, NC Metro Area"
11740	"Ashland, OH Micro Area"
11780	"Ashtabula, OH Micro Area"
11820	"Astoria, OR Micro Area"
11860	"Atchison, KS Micro Area"
11900	"Athens, OH Micro Area"
11940	"Athens, TN Micro Area"
11980	"Athens, TX Micro Area"
12020	"Athens-Clarke County, GA Metro Area"
12060	"Atlanta-Sandy Springs-Roswell, GA Metro Area"
12100	"Atlantic City-Hammonton, NJ Metro Area"
12140	"Auburn, IN Micro Area"
12180	"Auburn, NY Micro Area"
12220	"Auburn-Opelika, AL Metro Area"
12260	"Augusta-Richmond County, GA-SC Metro Area"
12300	"Augusta-Waterville, ME Micro Area"
12380	"Austin, MN Micro Area"
12420	"Austin-Round Rock, TX Metro Area"
12460	"Bainbridge, GA Micro Area"
12540	"Bakersfield, CA Metro Area"
12580	"Baltimore-Columbia-Towson, MD Metro Area"
12620	"Bangor, ME Metro Area"
12660	"Baraboo, WI Micro Area"
12680	"Bardstown, KY Micro Area"
12700	"Barnstable Town, MA Metro Area"
12740	"Barre, VT Micro Area"
12780	"Bartlesville, OK Micro Area"
12820	"Bastrop, LA Micro Area"
12860	"Batavia, NY Micro Area"
12900	"Batesville, AR Micro Area"
12940	"Baton Rouge, LA Metro Area"
12980	"Battle Creek, MI Metro Area"
13020	"Bay City, MI Metro Area"
13060	"Bay City, TX Micro Area"
13100	"Beatrice, NE Micro Area"
13140	"Beaumont-Port Arthur, TX Metro Area"
13180	"Beaver Dam, WI Micro Area"
13220	"Beckley, WV Metro Area"
13260	"Bedford, IN Micro Area"
13300	"Beeville, TX Micro Area"
13340	"Bellefontaine, OH Micro Area"
13380	"Bellingham, WA Metro Area"
13420	"Bemidji, MN Micro Area"
13460	"Bend-Redmond, OR Metro Area"
13500	"Bennettsville, SC Micro Area"
13540	"Bennington, VT Micro Area"
13620	"Berlin, NH-VT Micro Area"
13660	"Big Rapids, MI Micro Area"
13700	"Big Spring, TX Micro Area"
13720	"Big Stone Gap, VA Micro Area"
13740	"Billings, MT Metro Area"
13780	"Binghamton, NY Metro Area"
13820	"Birmingham-Hoover, AL Metro Area"
13900	"Bismarck, ND Metro Area"
13940	"Blackfoot, ID Micro Area"
13980	"Blacksburg-Christiansburg-Radford, VA Metro Area"
14010	"Bloomington, IL Metro Area"
14020	"Bloomington, IN Metro Area"
14100	"Bloomsburg-Berwick, PA Metro Area"
14140	"Bluefield, WV-VA Micro Area"
14180	"Blytheville, AR Micro Area"
