date	type	debt	rv
3/1/2003	Mortgage	4.942	100
3/1/2003	HE Revolving	0.242	100
3/1/2003	Auto Loan	0.641	100
3/1/2003	Credit Card	0.688	100
3/1/2003	Student Loan	0.241	100
3/1/2003	Other	0.478	100
3/1/2003	Total	7.231	100
6/1/2003	Mortgage	5.08	102.7923917
6/1/2003	HE Revolving	0.26	107.4380165
6/1/2003	Auto Loan	0.622	97.03588144
6/1/2003	Credit Card	0.693	100.7267442
6/1/2003	Student Loan	0.243	100.8298755
6/1/2003	Other	0.486	101.6736402
6/1/2003	Total	7.384	102.1158899
9/1/2003	Mortgage	5.183	104.8765682
9/1/2003	HE Revolving	0.269	111.1570248
9/1/2003	Auto Loan	0.684	106.7082683
9/1/2003	Credit Card	0.693	100.7267442
9/1/2003	Student Loan	0.249	103.3195021
9/1/2003	Other	0.477	99.79079498
9/1/2003	Total	7.555	104.4807081
12/1/2003	Mortgage	5.66	114.528531
12/1/2003	HE Revolving	0.302	124.7933884
12/1/2003	Auto Loan	0.704	109.8283931
12/1/2003	Credit Card	0.698	101.4534884
12/1/2003	Student Loan	0.253	104.9792531
12/1/2003	Other	0.449	93.93305439
12/1/2003	Total	8.066	111.5475038
3/1/2004	Mortgage	5.84	118.1707811
3/1/2004	HE Revolving	0.328	135.5371901
3/1/2004	Auto Loan	0.72	112.324493
3/1/2004	Credit Card	0.695	101.0174419
3/1/2004	Student Loan	0.26	107.8838174
3/1/2004	Other	0.447	93.51464435
3/1/2004	Total	8.289	114.6314479
6/1/2004	Mortgage	5.967	120.7405909
6/1/2004	HE Revolving	0.367	151.6528926
6/1/2004	Auto Loan	0.743	115.9126365
6/1/2004	Credit Card	0.697	101.3081395
6/1/2004	Student Loan	0.263	109.1286307
6/1/2004	Other	0.423	88.49372385
6/1/2004	Total	8.46	116.9962661
9/1/2004	Mortgage	6.21	125.6576285
9/1/2004	HE Revolving	0.426	176.0330579
9/1/2004	Auto Loan	0.751	117.1606864
9/1/2004	Credit Card	0.706	102.6162791
9/1/2004	Student Loan	0.33	136.9294606
9/1/2004	Other	0.41	85.77405858
9/1/2004	Total	8.833	122.1546121
12/1/2004	Mortgage	6.36	128.6928369
12/1/2004	HE Revolving	0.468	193.3884298
12/1/2004	Auto Loan	0.728	113.5725429
12/1/2004	Credit Card	0.717	104.2151163
12/1/2004	Student Loan	0.346	143.5684647
12/1/2004	Other	0.423	88.49372385
12/1/2004	Total	9.042	125.0449454
3/1/2005	Mortgage	6.512	131.7685148
3/1/2005	HE Revolving	0.502	207.4380165
3/1/2005	Auto Loan	0.725	113.1045242
3/1/2005	Credit Card	0.71	103.1976744
3/1/2005	Student Loan	0.364	151.0373444
3/1/2005	Other	0.394	82.42677824
3/1/2005	Total	9.207	127.3267874
6/1/2005	Mortgage	6.696	135.4917038
