date	year	Xnsa	ehs	mname	month
1/1/1999	1999	291000	291	Jan	1
2/1/1999	1999	293000	293	Feb	2
3/1/1999	1999	412000	412	Mar	3
4/1/1999	1999	454000	454	Apr	4
5/1/1999	1999	472000	472	May	5
6/1/1999	1999	560000	560	Jun	6
7/1/1999	1999	528000	528	Jul	7
8/1/1999	1999	529000	529	Aug	8
9/1/1999	1999	432000	432	Sep	9
10/1/1999	1999	417000	417	Oct	10
11/1/1999	1999	395000	395	Nov	11
12/1/1999	1999	401000	401	Dec	12
1/1/2000	2000	286000	286	Jan	1
2/1/2000	2000	310000	310	Feb	2
3/1/2000	2000	420000	420	Mar	3
4/1/2000	2000	432000	432	Apr	4
5/1/2000	2000	489000	489	May	5
6/1/2000	2000	541000	541	Jun	6
7/1/2000	2000	492000	492	Jul	7
8/1/2000	2000	533000	533	Aug	8
9/1/2000	2000	443000	443	Sep	9
10/1/2000	2000	434000	434	Oct	10
11/1/2000	2000	408000	408	Nov	11
12/1/2000	2000	385000	385	Dec	12
1/1/2001	2001	295000	295	Jan	1
2/1/2001	2001	305000	305	Feb	2
3/1/2001	2001	438000	438	Mar	3
4/1/2001	2001	454000	454	Apr	4
5/1/2001	2001	506000	506	May	5
6/1/2001	2001	557000	557	Jun	6
7/1/2001	2001	535000	535	Jul	7
8/1/2001	2001	566000	566	Aug	8
9/1/2001	2001	420000	420	Sep	9
10/1/2001	2001	443000	443	Oct	10
11/1/2001	2001	405000	405	Nov	11
12/1/2001	2001	409000	409	Dec	12
1/1/2002	2002	342000	342	Jan	1
2/1/2002	2002	344000	344	Feb	2
3/1/2002	2002	438000	438	Mar	3
4/1/2002	2002	502000	502	Apr	4
5/1/2002	2002	543000	543	May	5
6/1/2002	2002	542000	542	Jun	6
7/1/2002	2002	544000	544	Jul	7
8/1/2002	2002	549000	549	Aug	8
9/1/2002	2002	457000	457	Sep	9
10/1/2002	2002	481000	481	Oct	10
11/1/2002	2002	430000	430	Nov	11
12/1/2002	2002	459000	459	Dec	12
1/1/2003	2003	352000	352	Jan	1
2/1/2003	2003	350000	350	Feb	2
3/1/2003	2003	446000	446	Mar	3
4/1/2003	2003	517000	517	Apr	4
5/1/2003	2003	565000	565	May	5
6/1/2003	2003	601000	601	Jun	6
7/1/2003	2003	632000	632	Jul	7
8/1/2003	2003	645000	645	Aug	8
9/1/2003	2003	566000	566	Sep	9
10/1/2003	2003	546000	546	Oct	10
11/1/2003	2003	446000	446	Nov	11
12/1/2003	2003	510000	510	Dec	12
1/1/2004	2004	352000	352	Jan	1
2/1/2004	2004	378000	378	Feb	2
3/1/2004	2004	531000	531	Mar	3
4/1/2004	2004	606000	606	Apr	4
5/1/2004	2004	623000	623	May	5
6/1/2004	2004	725000	725	Jun	6
7/1/2004	2004	681000	681	Jul	7
8/1/2004	2004	677000	677	Aug	8
9/1/2004	2004	570000	570	Sep	9
10/1/2004	2004	557000	557	Oct	10
11/1/2004	2004	532000	532	Nov	11
12/1/2004	2004	546000	546	Dec	12
1/1/2005	2005	382000	382	Jan	1
2/1/2005	2005	402000	402	Feb	2
3/1/2005	2005	556000	556	Mar	3
4/1/2005	2005	625000	625	Apr	4
5/1/2005	2005	669000	669	May	5
6/1/2005	2005	754000	754	Jun	6
7/1/2005	2005	690000	690	Jul	7
8/1/2005	2005	744000	744	Aug	8
9/1/2005	2005	630000	630	Sep	9
10/1/2005	2005	566000	566	Oct	10
11/1/2005	2005	530000	530	Nov	11
12/1/2005	2005	528000	528	Dec	12
1/1/2006	2006	374000	374	Jan	1
2/1/2006	2006	402000	402	Feb	2
3/1/2006	2006	554000	554	Mar	3
4/1/2006	2006	560000	560	Apr	4
5/1/2006	2006	642000	642	May	5
6/1/2006	2006	699000	699	Jun	6
7/1/2006	2006	605000	605	Jul	7
8/1/2006	2006	654000	654	Aug	8
9/1/2006	2006	529000	529	Sep	9
10/1/2006	2006	518000	518	Oct	10
11/1/2006	2006	472000	472	Nov	11
12/1/2006	2006	469000	469	Dec	12
1/1/2007	2007	324000	324	Jan	1
2/1/2007	2007	347000	347	Feb	2
3/1/2007	2007	436000	436	Mar	3
4/1/2007	2007	458000	458	Apr	4
5/1/2007	2007	511000	511	May	5
6/1/2007	2007	536000	536	Jun	6
7/1/2007	2007	499000	499	Jul	7
8/1/2007	2007	510000	510	Aug	8
9/1/2007	2007	365000	365	Sep	9
10/1/2007	2007	373000	373	Oct	10
11/1/2007	2007	343000	343	Nov	11
12/1/2007	2007	320000	320	Dec	12
1/1/2008	2008	235000	235	Jan	1
2/1/2008	2008	262000	262	Feb	2
3/1/2008	2008	316000	316	Mar	3
4/1/2008	2008	364000	364	Apr	4
5/1/2008	2008	403000	403	May	5
6/1/2008	2008	421000	421	Jun	6
7/1/2008	2008	418000	418	Jul	7
8/1/2008	2008	409000	409	Aug	8
9/1/2008	2008	369000	369	Sep	9
10/1/2008	2008	349000	349	Oct	10
11/1/2008	2008	273000	273	Nov	11
12/1/2008	2008	305000	305	Dec	12
1/1/2009	2009	218000	218	Jan	1
2/1/2009	2009	238000	238	Feb	2
3/1/2009	2009	304000	304	Mar	3
4/1/2009	2009	349000	349	Apr	4
5/1/2009	2009	376000	376	May	5
6/1/2009	2009	438000	438	Jun	6
7/1/2009	2009	442000	442	Jul	7
8/1/2009	2009	417000	417	Aug	8
9/1/2009	2009	392000	392	Sep	9
10/1/2009	2009	418000	418	Oct	10
11/1/2009	2009	395000	395	Nov	11
12/1/2009	2009	347000	347	Dec	12
1/1/2010	2010	234000	234	Jan	1
2/1/2010	2010	258000	258	Feb	2
3/1/2010	2010	366000	366	Mar	3
4/1/2010	2010	443000	443	Apr	4
5/1/2010	2010	449000	449	May	5
6/1/2010	2010	472000	472	Jun	6
7/1/2010	2010	331000	331	Jul	7
8/1/2010	2010	352000	352	Aug	8
9/1/2010	2010	321000	321	Sep	9
10/1/2010	2010	307000	307	Oct	10
11/1/2010	2010	304000	304	Nov	11
12/1/2010	2010	345000	345	Dec	12
1/1/2011	2011	247000	247	Jan	1
2/1/2011	2011	253000	253	Feb	2
3/1/2011	2011	347000	347	Mar	3
4/1/2011	2011	375000	375	Apr	4
5/1/2011	2011	391000	391	May	5
6/1/2011	2011	440000	440	Jun	6
7/1/2011	2011	385000	385	Jul	7
8/1/2011	2011	429000	429	Aug	8
9/1/2011	2011	369000	369	Sep	9
10/1/2011	2011	343000	343	Oct	10
11/1/2011	2011	335000	335	Nov	11
12/1/2011	2011	349000	349	Dec	12
1/1/2012	2012	260000	260	Jan	1
2/1/2012	2012	287000	287	Feb	2
3/1/2012	2012	360000	360	Mar	3
4/1/2012	2012	400000	400	Apr	4
5/1/2012	2012	448000	448	May	5
6/1/2012	2012	463000	463	Jun	6
7/1/2012	2012	430000	430	Jul	7
8/1/2012	2012	476000	476	Aug	8
9/1/2012	2012	372000	372	Sep	9
10/1/2012	2012	401000	401	Oct	10
11/1/2012	2012	385000	385	Nov	11
12/1/2012	2012	374000	374	Dec	12
1/1/2013	2013	291000	291	Jan	1
2/1/2013	2013	304000	304	Feb	2
3/1/2013	2013	387000	387	Mar	3
4/1/2013	2013	454000	454	Apr	4
5/1/2013	2013	514000	514	May	5
6/1/2013	2013	500000	500	Jun	6
7/1/2013	2013	519000	519	Jul	7
8/1/2013	2013	518000	518	Aug	8
9/1/2013	2013	427000	427	Sep	9
10/1/2013	2013	424000	424	Oct	10
11/1/2013	2013	362000	362	Nov	11
12/1/2013	2013	387000	387	Dec	12
1/1/2014	2014	281000	281	Jan	1
2/1/2014	2014	282000	282	Feb	2
3/1/2014	2014	355000	355	Mar	3
4/1/2014	2014	422000	422	Apr	4
5/1/2014	2014	473000	473	May	5
6/1/2014	2014	506000	506	Jun	6
