state.to	state.from	total	statecode.to	statecode.from
Alabama	Alabama	0	AL	AL
Alabama	Alaska	767	AL	AK
Alabama	Arizona	1865	AL	AZ
Alabama	Arkansas	2329	AL	AR
Alabama	California	3397	AL	CA
Alabama	Colorado	1927	AL	CO
Alabama	Connecticut	894	AL	CT
Alabama	Delaware	77	AL	DE
Alabama	District of Columbia 	521	AL	DC
Alabama	Florida	15755	AL	FL
Alabama	Georgia	27433	AL	GA
Alabama	Hawaii	399	AL	HI
Alabama	Idaho	0	AL	ID
Alabama	Illinois	2400	AL	IL
Alabama	Indiana	1184	AL	IN
Alabama	Iowa	478	AL	IA
Alabama	Kansas	1277	AL	KS
Alabama	Kentucky	1365	AL	KY
Alabama	Louisiana	1566	AL	LA
Alabama	Maine	97	AL	ME
Alabama	Maryland	1435	AL	MD
Alabama	Massachusetts	446	AL	MA
Alabama	Michigan	2540	AL	MI
Alabama	Minnesota	193	AL	MN
Alabama	Mississippi	7442	AL	MS
Alabama	Missouri	1174	AL	MO
Alabama	Montana	120	AL	MT
Alabama	Nebraska	339	AL	NE
Alabama	Nevada	539	AL	NV
Alabama	New Hampshire	166	AL	NH
Alabama	New Jersey	193	AL	NJ
Alabama	New Mexico	773	AL	NM
Alabama	New York	2061	AL	NY
Alabama	North Carolina	3974	AL	NC
Alabama	North Dakota	1162	AL	ND
Alabama	Ohio	1513	AL	OH
Alabama	Oklahoma	725	AL	OK
Alabama	Oregon	593	AL	OR
Alabama	Pennsylvania	2690	AL	PA
Alabama	Rhode Island	43	AL	RI
Alabama	South Carolina	1968	AL	SC
Alabama	South Dakota	103	AL	SD
Alabama	Tennessee	7206	AL	TN
Alabama	Texas	6469	AL	TX
Alabama	Utah	362	AL	UT
Alabama	Vermont	173	AL	VT
Alabama	Virginia	4772	AL	VA
Alabama	Washington	871	AL	WA
Alabama	West Virginia	445	AL	WV
Alabama	Wisconsin	491	AL	WI
Alabama	Wyoming	164	AL	WY
Alaska	Alabama	279	AK	AL
Alaska	Alaska	0	AK	AK
Alaska	Arizona	658	AK	AZ
Alaska	Arkansas	73	AK	AR
Alaska	California	3062	AK	CA
Alaska	Colorado	1815	AK	CO
Alaska	Connecticut	109	AK	CT
Alaska	Delaware	0	AK	DE
Alaska	District of Columbia 	0	AK	DC
Alaska	Florida	1473	AK	FL
Alaska	Georgia	1044	AK	GA
Alaska	Hawaii	732	AK	HI
Alaska	Idaho	544	AK	ID
Alaska	Illinois	819	AK	IL
Alaska	Indiana	138	AK	IN
Alaska	Iowa	193	AK	IA
Alaska	Kansas	434	AK	KS
Alaska	Kentucky	238	AK	KY
Alaska	Louisiana	210	AK	LA
