date	nsales	moe	down	up	month	mname
1/1/2000	873	6	786.842567	959.157433	1	Jan
2/1/2000	856	6	771.5203177	940.4796823	2	Feb
3/1/2000	900	6	811.1779041	988.8220959	3	Mar
4/1/2000	841	5	771.833905	910.166095	4	Apr
5/1/2000	857	5	786.5180221	927.4819779	5	May
6/1/2000	793	5	727.7815537	858.2184463	6	Jun
7/1/2000	887	5	814.0507416	959.9492584	7	Jul
8/1/2000	848	5	778.2582062	917.7417938	8	Aug
9/1/2000	912	5	836.9946746	987.0053254	9	Sep
10/1/2000	933	5	856.2675783	1009.732422	10	Oct
11/1/2000	880	6	793.1517285	966.8482715	11	Nov
12/1/2000	983	6	885.9865331	1080.013467	12	Dec
1/1/2001	936	6	843.6250203	1028.37498	1	Jan
2/1/2001	963	6	867.9603574	1058.039643	2	Feb
3/1/2001	939	6	846.3289467	1031.671053	3	Mar
4/1/2001	909	6	819.2896832	998.7103168	4	Apr
5/1/2001	885	6	797.6582724	972.3417276	5	May
6/1/2001	882	5	809.4619551	954.5380449	6	Jun
7/1/2001	880	6	793.1517285	966.8482715	7	Jul
8/1/2001	866	6	780.5334055	951.4665945	8	Aug
9/1/2001	853	6	768.8163914	937.1836086	9	Sep
10/1/2001	871	6	785.0399495	956.9600505	10	Oct
11/1/2001	924	6	832.8093149	1015.190685	11	Nov
12/1/2001	979	6	882.381298	1075.618702	12	Dec
1/1/2002	880	6	793.1517285	966.8482715	1	Jan
2/1/2002	948	6	854.4407257	1041.559274	2	Feb
3/1/2002	923	6	831.9080061	1014.091994	3	Mar
4/1/2002	936	6	843.6250203	1028.37498	4	Apr
5/1/2002	978	6	881.4799892	1074.520011	5	May
6/1/2002	957	6	862.5525047	1051.447495	6	Jun
7/1/2002	956	5	877.3759966	1034.624003	7	Jul
8/1/2002	1014	5	930.6059211	1097.394079	8	Aug
9/1/2002	1044	6	940.9663688	1147.033631	9	Sep
10/1/2002	1006	6	906.7166351	1105.283365	10	Oct
11/1/2002	1024	6	922.9401932	1125.059807	11	Nov
12/1/2002	1048	7	927.3335379	1168.666462	12	Dec
1/1/2003	999	7	883.9753859	1114.024614	1	Jan
2/1/2003	936	7	828.2291904	1043.77081	2	Feb
3/1/2003	999	7	883.9753859	1114.024614	3	Mar
4/1/2003	1012	6	912.1244878	1111.875512	4	Apr
5/1/2003	1078	6	971.6108674	1184.389133	5	May
6/1/2003	1193	6	1075.261377	1310.738623	6	Jun
7/1/2003	1168	6	1052.728658	1283.271342	7	Jul
8/1/2003	1206	6	1086.978392	1325.021608	8	Aug
9/1/2003	1131	6	1019.380233	1242.619767	9	Sep
10/1/2003	1144	6	1031.097247	1256.902753	10	Oct
11/1/2003	1093	6	985.1304991	1200.869501	11	Nov
12/1/2003	1129	6	1017.577615	1240.422385	12	Dec
1/1/2004	1165	6	1050.024731	1279.975269	1	Jan
2/1/2004	1159	6	1044.616879	1273.383121	2	Feb
3/1/2004	1276	6	1150.070006	1401.929994	3	Mar
4/1/2004	1186	6	1068.952216	1303.047784	4	Apr
5/1/2004	1241	6	1118.524199	1363.475801	5	May
