date	state	pcdebt
3/1/2003	AZ	32.20991747
3/1/2003	CA	43.28824142
3/1/2003	FL	27.81088083
3/1/2003	IL	32.21761553
3/1/2003	MI	30.54458657
3/1/2003	NJ	35.66489658
3/1/2003	NV	38.01599629
3/1/2003	NY	28.13336077
3/1/2003	OH	27.99472563
3/1/2003	PA	24.55357143
3/1/2003	TX	24.41992246
3/1/2003	ALL	30.5971507
6/1/2003	AZ	33.12777921
6/1/2003	CA	44.50364755
6/1/2003	FL	28.34013341
6/1/2003	IL	33.10776689
6/1/2003	MI	30.9457571
6/1/2003	NJ	35.91716385
6/1/2003	NV	38.40605573
6/1/2003	NY	28.6034811
6/1/2003	OH	29.11648619
6/1/2003	PA	24.70564955
6/1/2003	TX	24.62085308
6/1/2003	ALL	31.15109583
9/1/2003	AZ	33.525335
9/1/2003	CA	45.41081736
9/1/2003	FL	29.31522718
9/1/2003	IL	33.39686998
9/1/2003	MI	31.70939927
9/1/2003	NJ	36.77813994
9/1/2003	NV	38.52386066
9/1/2003	NY	29.52956351
9/1/2003	OH	29.39271255
9/1/2003	PA	25.29870643
9/1/2003	TX	25.31391853
9/1/2003	ALL	31.77562625
12/1/2003	AZ	36.17100521
12/1/2003	CA	49.20205187
12/1/2003	FL	30.98881317
12/1/2003	IL	36.09331197
12/1/2003	MI	33.27320331
12/1/2003	NJ	39.74425087
12/1/2003	NV	42.5487538
12/1/2003	NY	31.53208265
12/1/2003	OH	30.75444984
12/1/2003	PA	26.8321513
12/1/2003	TX	26.25453269
12/1/2003	ALL	33.84528231
3/1/2004	AZ	36.66491282
3/1/2004	CA	51.2246351
3/1/2004	FL	31.88257163
3/1/2004	IL	36.8004012
3/1/2004	MI	34.18867602
3/1/2004	NJ	41.4967366
3/1/2004	NV	43.47526795
3/1/2004	NY	32.2901075
3/1/2004	OH	31.16738977
3/1/2004	PA	27.58756009
3/1/2004	TX	26.716141
3/1/2004	ALL	34.68268314
6/1/2004	AZ	38.0602
6/1/2004	CA	52.75691912
6/1/2004	FL	33.12950566
6/1/2004	IL	37.33642037
6/1/2004	MI	35.13178811
6/1/2004	NJ	42.6311699
6/1/2004	NV	44.64993375
6/1/2004	NY	32.66055046
6/1/2004	OH	31.18498878
6/1/2004	PA	28.71941594
6/1/2004	TX	26.64277871
6/1/2004	ALL	35.49789362
9/1/2004	AZ	39.98596227
9/1/2004	CA	55.98258573
9/1/2004	FL	34.6568313
9/1/2004	IL	38.65461847
9/1/2004	MI	36.20646455
9/1/2004	NJ	44.51060122
9/1/2004	NV	46.47528409
9/1/2004	NY	33.70740386
9/1/2004	OH	31.32018209
9/1/2004	PA	29.25223543
9/1/2004	TX	27.10355063
9/1/2004	ALL	36.82242445
12/1/2004	AZ	40.71695814
12/1/2004	CA	57.68119045
