date	rate	year	month	week
4/2/1971	7.33	1971	4	14
4/9/1971	7.31	1971	4	15
4/16/1971	7.31	1971	4	16
4/23/1971	7.31	1971	4	17
4/30/1971	7.29	1971	4	18
5/7/1971	7.38	1971	5	19
5/14/1971	7.42	1971	5	20
5/21/1971	7.44	1971	5	21
5/28/1971	7.46	1971	5	22
6/4/1971	7.52	1971	6	23
6/11/1971	7.52	1971	6	24
6/18/1971	7.54	1971	6	25
6/25/1971	7.54	1971	6	26
7/2/1971	7.54	1971	7	27
7/9/1971	7.54	1971	7	28
7/16/1971	7.6	1971	7	29
7/23/1971	7.65	1971	7	30
7/30/1971	7.69	1971	7	31
8/6/1971	7.66	1971	8	32
8/13/1971	7.73	1971	8	33
8/20/1971	7.71	1971	8	34
8/27/1971	7.69	1971	8	35
9/3/1971	7.71	1971	9	36
9/10/1971	7.67	1971	9	37
9/17/1971	7.7	1971	9	38
9/24/1971	7.67	1971	9	39
10/1/1971	7.67	1971	10	40
10/8/1971	7.63	1971	10	41
10/15/1971	7.63	1971	10	42
10/22/1971	7.58	1971	10	43
10/29/1971	7.63	1971	10	44
11/5/1971	7.59	1971	11	45
11/12/1971	7.56	1971	11	46
11/19/1971	7.54	1971	11	47
11/26/1971	7.51	1971	11	48
12/3/1971	7.49	1971	12	49
12/10/1971	7.47	1971	12	50
12/17/1971	7.48	1971	12	51
12/24/1971	7.48	1971	12	52
12/31/1971	7.48	1971	12	53
1/7/1972	7.46	1972	1	2
1/14/1972	7.46	1972	1	3
1/21/1972	7.43	1972	1	4
1/28/1972	7.4	1972	1	5
2/4/1972	7.35	1972	2	6
2/11/1972	7.33	1972	2	7
2/18/1972	7.31	1972	2	8
2/25/1972	7.31	1972	2	9
3/3/1972	7.32	1972	3	10
3/10/1972	7.32	1972	3	11
3/17/1972	7.31	1972	3	12
3/24/1972	7.31	1972	3	13
3/31/1972	7.23	1972	3	14
4/7/1972	7.25	1972	4	15
4/14/1972	7.29	1972	4	16
4/21/1972	7.29	1972	4	17
4/28/1972	7.33	1972	4	18
5/5/1972	7.33	1972	5	19
5/12/1972	7.38	1972	5	20
5/19/1972	7.38	1972	5	21
5/26/1972	7.4	1972	5	22
6/2/1972	7.36	1972	6	23
6/9/1972	7.38	1972	6	24
6/16/1972	7.38	1972	6	25
6/23/1972	7.36	1972	6	26
6/30/1972	7.38	1972	6	27
7/7/1972	7.38	1972	7	28
7/14/1972	7.4	1972	7	29
7/21/1972	7.4	1972	7	30
7/28/1972	7.4	1972	7	31
8/4/1972	7.35	1972	8	32
8/11/1972	7.41	1972	8	33
8/18/1972	7.42	1972	8	34
8/25/1972	7.42	1972	8	35
9/1/1972	7.42	1972	9	36
9/8/1972	7.42	1972	9	37
9/15/1972	7.42	1972	9	38
9/22/1972	7.41	1972	9	39
9/29/1972	7.43	1972	9	40
10/6/1972	7.41	1972	10	41
10/13/1972	7.41	1972	10	42
10/20/1972	7.44	1972	10	43
10/27/1972	7.42	1972	10	44
11/3/1972	7.43	1972	11	45
11/10/1972	7.42	1972	11	46
11/17/1972	7.42	1972	11	47
11/24/1972	7.44	1972	11	48
12/1/1972	7.45	1972	12	49
12/8/1972	7.43	1972	12	50
12/15/1972	7.43	1972	12	51
12/22/1972	7.45	1972	12	52
12/29/1972	7.45	1972	12	53
1/5/1973	7.44	1973	1	2
1/12/1973	7.44	1973	1	3
1/19/1973	7.44	1973	1	4
1/26/1973	7.43	1973	1	5
2/2/1973	7.43	1973	2	6
2/9/1973	7.43	1973	2	7
2/16/1973	7.45	1973	2	8
2/23/1973	7.45	1973	2	9
3/2/1973	7.45	1973	3	10
3/9/1973	7.45	1973	3	11
3/16/1973	7.45	1973	3	12
3/23/1973	7.45	1973	3	13
3/30/1973	7.49	1973	3	14
4/6/1973	7.51	1973	4	15
4/13/1973	7.54	1973	4	16
4/20/1973	7.56	1973	4	17
4/27/1973	7.56	1973	4	18
5/4/1973	7.58	1973	5	19
5/11/1973	7.64	1973	5	20
5/18/1973	7.69	1973	5	21
5/24/1973	7.7	1973	5	21
6/1/1973	7.7	1973	6	23
6/8/1973	7.73	1973	6	24
6/15/1973	7.73	1973	6	25
6/22/1973	7.75	1973	6	26
6/29/1973	7.76	1973	6	27
7/6/1973	7.89	1973	7	28
7/13/1973	8.01	1973	7	29
7/20/1973	8.12	1973	7	30
7/27/1973	8.18	1973	7	31
8/3/1973	8.26	1973	8	32
8/10/1973	8.4	1973	8	33
8/17/1973	8.55	1973	8	34
8/24/1973	8.61	1973	8	35
8/31/1973	8.66	1973	8	36
9/7/1973	8.77	1973	9	37
9/14/1973	8.81	1973	9	38
9/21/1973	8.83	1973	9	39
9/28/1973	8.85	1973	9	40
10/5/1973	8.82	1973	10	41
10/12/1973	8.83	1973	10	42
10/19/1973	8.75	1973	10	43
10/26/1973	8.68	1973	10	44
11/2/1973	8.62	1973	11	45
11/9/1973	8.59	1973	11	46
11/16/1973	8.58	1973	11	47
