date	mrate	rate10y	rateff	spread	year	month
04/02/1971	7.33	5.55	4.02	1.78	1971	4
04/09/1971	7.31	5.61	3.98	1.70	1971	4
04/16/1971	7.31	5.77	4.20	1.54	1971	4
04/23/1971	7.31	5.98	4.27	1.33	1971	4
04/30/1971	7.29	6.03	4.14	1.26	1971	4
05/07/1971	7.38	6.24	4.41	1.14	1971	5
05/14/1971	7.42	6.36	4.59	1.06	1971	5
05/21/1971	7.44	6.57	4.55	0.87	1971	5
05/28/1971	7.46	6.41	4.68	1.05	1971	5
06/04/1971	7.52	6.26	4.82	1.26	1971	6
06/11/1971	7.52	6.43	4.77	1.09	1971	6
06/18/1971	7.54	6.66	4.89	0.88	1971	6
06/25/1971	7.54	6.60	4.96	0.94	1971	6
07/02/1971	7.54	6.68	5.07	0.86	1971	7
07/09/1971	7.54	6.67	5.18	0.87	1971	7
07/16/1971	7.60	6.61	5.13	0.99	1971	7
07/23/1971	7.65	6.75	5.46	0.90	1971	7
07/30/1971	7.69	6.89	5.38	0.80	1971	7
08/06/1971	7.66	6.88	5.57	0.78	1971	8
08/13/1971	7.73	6.82	5.59	0.91	1971	8
08/20/1971	7.71	6.35	5.59	1.36	1971	8
08/27/1971	7.69	6.39	5.48	1.30	1971	8
09/03/1971	7.71	6.22	5.59	1.49	1971	9
09/10/1971	7.67	6.10	5.73	1.57	1971	9
09/17/1971	7.70	6.16	5.59	1.54	1971	9
09/24/1971	7.67	6.17	5.46	1.50	1971	9
10/01/1971	7.67	6.07	5.43	1.60	1971	10
10/08/1971	7.63	5.98	5.32	1.65	1971	10
10/15/1971	7.63	5.88	5.29	1.75	1971	10
10/22/1971	7.58	5.92	5.14	1.66	1971	10
10/29/1971	7.63	5.90	5.11	1.73	1971	10
11/05/1971	7.59	5.74	5.16	1.85	1971	11
11/12/1971	7.56	5.78	4.93	1.78	1971	11
11/19/1971	7.54	5.77	4.88	1.77	1971	11
11/26/1971	7.51	5.90	4.86	1.61	1971	11
12/03/1971	7.49	5.92	4.68	1.57	1971	12
12/10/1971	7.47	5.92	4.59	1.55	1971	12
12/17/1971	7.48	5.94	4.20	1.54	1971	12
12/24/1971	7.48	5.99	3.89	1.49	1971	12
12/31/1971	7.48	5.89	4.05	1.59	1971	12
01/07/1972	7.46	5.91	3.57	1.55	1972	1
01/14/1972	7.46	5.87	3.71	1.59	1972	1
01/21/1972	7.43	5.95	3.54	1.48	1972	1
01/28/1972	7.40	6.04	3.43	1.36	1972	1
02/04/1972	7.35	6.08	3.23	1.27	1972	2
02/11/1972	7.33	6.11	3.25	1.22	1972	2
02/18/1972	7.31	6.08	3.43	1.23	1972	2
02/25/1972	7.31	6.07	3.34	1.24	1972	2
03/03/1972	7.32	6.03	3.18	1.29	1972	3
03/10/1972	7.32	6.02	3.43	1.30	1972	3
03/17/1972	7.31	6.08	3.88	1.23	1972	3
03/24/1972	7.31	6.09	3.91	1.22	1972	3
03/31/1972	7.23	6.11	4.09	1.12	1972	3
04/07/1972	7.25	6.17	4.16	1.08	1972	4
04/14/1972	7.29	6.21	4.18	1.08	1972	4
04/21/1972	7.29	6.22	4.04	1.07	1972	4
04/28/1972	7.33	6.17	4.20	1.16	1972	4
05/05/1972	7.33	6.16	4.25	1.17	1972	5
05/12/1972	7.38	6.18	4.20	1.20	1972	5
05/19/1972	7.38	6.14	4.32	1.24	1972	5
05/26/1972	7.40	6.05	4.24	1.35	1972	5
06/02/1972	7.36	6.07	4.38	1.29	1972	6
06/09/1972	7.38	6.12	4.48	1.26	1972	6
06/16/1972	7.38	6.10	4.46	1.28	1972	6
06/23/1972	7.36	6.09	4.39	1.27	1972	6
06/30/1972	7.38	6.13	4.49	1.25	1972	6
07/07/1972	7.38	6.13	4.61	1.25	1972	7
07/14/1972	7.40	6.12	4.62	1.28	1972	7
07/21/1972	7.40	6.10	4.46	1.30	1972	7
07/28/1972	7.40	6.10	4.54	1.30	1972	7
08/04/1972	7.35	6.14	4.56	1.21	1972	8
08/11/1972	7.41	6.15	4.69	1.26	1972	8
08/18/1972	7.42	6.18	4.87	1.24	1972	8
08/25/1972	7.42	6.22	4.75	1.20	1972	8
09/01/1972	7.42	6.38	4.90	1.04	1972	9
09/08/1972	7.42	6.51	4.89	0.91	1972	9
09/15/1972	7.42	6.55	4.69	0.87	1972	9
09/22/1972	7.41	6.57	4.93	0.84	1972	9
09/29/1972	7.43	6.58	4.99	0.85	1972	9
10/06/1972	7.41	6.53	5.15	0.88	1972	10
10/13/1972	7.41	6.49	5.09	0.92	1972	10
10/20/1972	7.44	6.48	4.91	0.96	1972	10
10/27/1972	7.42	6.43	5.01	0.99	1972	10
11/03/1972	7.43	6.37	5.06	1.06	1972	11
11/10/1972	7.42	6.29	5.25	1.13	1972	11
11/17/1972	7.42	6.25	4.89	1.17	1972	11
11/24/1972	7.44	6.26	4.97	1.18	1972	11
12/01/1972	7.45	6.29	5.03	1.16	1972	12
12/08/1972	7.43	6.31	5.17	1.12	1972	12
12/15/1972	7.43	6.35	5.29	1.08	1972	12
12/22/1972	7.45	6.40	5.38	1.05	1972	12
12/29/1972	7.45	6.40	5.34	1.05	1972	12
01/05/1973	7.44	6.42	5.61	1.02	1973	1
01/12/1973	7.44	6.43	5.66	1.01	1973	1
01/19/1973	7.44	6.46	5.86	0.98	1973	1
01/26/1973	7.43	6.50	6.03	0.93	1973	1
02/02/1973	7.43	6.57	6.35	0.86	1973	2
02/09/1973	7.43	6.64	6.21	0.79	1973	2
02/16/1973	7.45	6.62	6.58	0.83	1973	2
02/23/1973	7.45	6.65	6.79	0.80	1973	2
03/02/1973	7.45	6.65	6.75	0.80	1973	3
03/09/1973	7.45	6.67	7.02	0.78	1973	3
03/16/1973	7.45	6.72	7.13	0.73	1973	3
03/23/1973	7.45	6.76	6.96	0.69	1973	3
03/30/1973	7.49	6.71	7.11	0.78	1973	3
04/06/1973	7.51	6.70	7.18	0.81	1973	4
04/13/1973	7.54	6.64	6.84	0.90	1973	4
04/20/1973	7.56	6.64	7.23	0.92	1973	4
04/27/1973	7.56	6.68	7.14	0.88	1973	4
05/04/1973	7.58	6.75	7.43	0.83	1973	5
05/11/1973	7.64	6.81	7.60	0.83	1973	5
05/18/1973	7.69	6.85	7.81	0.84	1973	5
05/24/1973	7.70	6.91	8.06	0.79	1973	5
06/01/1973	7.70	6.94	7.95	0.76	1973	6
06/08/1973	7.73	6.92	8.43	0.81	1973	6
06/15/1973	7.73	6.86	8.17	0.87	1973	6
06/22/1973	7.75	6.89	8.55	0.86	1973	6
06/29/1973	7.76	6.93	8.59	0.83	1973	6
07/06/1973	7.89	7.02	10.21	0.87	1973	7
07/13/1973	8.01	7.05	9.52	0.96	1973	7
07/20/1973	8.12	7.09	10.22	1.03	1973	7
07/27/1973	8.18	7.24	10.58	0.94	1973	7
08/03/1973	8.26	7.48	10.57	0.78	1973	8
08/10/1973	8.40	7.54	10.39	0.86	1973	8
08/17/1973	8.55	7.41	10.39	1.14	1973	8
08/24/1973	8.61	7.33	10.52	1.28	1973	8
08/31/1973	8.66	7.26	10.79	1.40	1973	8
09/07/1973	8.77	7.13	10.79	1.64	1973	9
09/14/1973	8.81	7.19	10.74	1.62	1973	9
09/21/1973	8.83	7.09	10.80	1.74	1973	9
09/28/1973	8.85	6.95	10.84	1.90	1973	9
10/05/1973	8.82	6.89	10.72	1.93	1973	10
10/12/1973	8.83	6.77	9.87	2.06	1973	10
10/19/1973	8.75	6.80	10.07	1.95	1973	10
10/26/1973	8.68	6.75	9.98	1.93	1973	10
11/02/1973	8.62	6.72	9.90	1.90	1973	11
11/09/1973	8.59	6.76	9.71	1.83	1973	11
11/16/1973	8.58	6.76	10.03	1.82	1973	11
11/23/1973	8.57	6.71	10.23	1.86	1973	11
11/30/1973	8.55	6.70	10.09	1.85	1973	11
12/07/1973	8.53	6.72	10.17	1.81	1973	12
12/14/1973	8.53	6.69	10.04	1.84	1973	12
12/21/1973	8.53	6.71	10.18	1.82	1973	12
12/28/1973	8.56	6.87	9.52	1.69	1973	12
01/04/1974	8.56	6.94	9.87	1.62	1974	1
