"date","geo","statename","region","hpi","lat","long","hpa12"
"1/1/2000","AK","Alaska","West Region",96.39800596,NA,NA,0.0313861963748019
"2/1/2000","AK","Alaska","West Region",96.47148383,NA,NA,0.0295629137228182
"3/1/2000","AK","Alaska","West Region",96.81341722,NA,NA,0.0264356386727933
"4/1/2000","AK","Alaska","West Region",97.37840078,NA,NA,0.0229020881020765
"5/1/2000","AK","Alaska","West Region",98.02381074,NA,NA,0.0218324100801404
"6/1/2000","AK","Alaska","West Region",98.59782627,NA,NA,0.0230155036143669
"7/1/2000","AK","Alaska","West Region",98.96942475,NA,NA,0.0230717927604409
"8/1/2000","AK","Alaska","West Region",99.19233966,NA,NA,0.0224607634228915
"9/1/2000","AK","Alaska","West Region",99.37282054,NA,NA,0.0239644923569096
"10/1/2000","AK","Alaska","West Region",99.54980862,NA,NA,0.0280213121002197
"11/1/2000","AK","Alaska","West Region",99.74110252,NA,NA,0.0327037363181946
"12/1/2000","AK","Alaska","West Region",100,NA,NA,0.0368481792578566
"1/1/2001","AK","Alaska","West Region",100.3630641,NA,NA,0.0411321593274998
"2/1/2001","AK","Alaska","West Region",100.8154259,NA,NA,0.0450282497743562
"3/1/2001","AK","Alaska","West Region",101.4279348,NA,NA,0.0476640295581543
"4/1/2001","AK","Alaska","West Region",102.2182954,NA,NA,0.0497019316525276
"5/1/2001","AK","Alaska","West Region",103.1095069,NA,NA,0.0518822531138825
"6/1/2001","AK","Alaska","West Region",104.0378675,NA,NA,0.0551740483111971
"7/1/2001","AK","Alaska","West Region",104.9332874,NA,NA,0.0602596475130062
"8/1/2001","AK","Alaska","West Region",105.6663563,NA,NA,0.0652673045337058
"9/1/2001","AK","Alaska","West Region",106.090218,NA,NA,0.067597934963475
"10/1/2001","AK","Alaska","West Region",106.1132565,NA,NA,0.0659312958104612
"11/1/2001","AK","Alaska","West Region",105.9911709,NA,NA,0.0626629165117434
"12/1/2001","AK","Alaska","West Region",106.1113634,NA,NA,0.061113634
"1/1/2002","AK","Alaska","West Region",106.5123839,NA,NA,0.0612707459177704
"2/1/2002","AK","Alaska","West Region",107.134195,NA,NA,0.0626766096913352
"3/1/2002","AK","Alaska","West Region",108.0318019,NA,NA,0.0651089575374062
"4/1/2002","AK","Alaska","West Region",109.168688,NA,NA,0.0679955831077184
"5/1/2002","AK","Alaska","West Region",110.2618889,NA,NA,0.0693668529220752
"6/1/2002","AK","Alaska","West Region",111.0701587,NA,NA,0.067593573080494
"7/1/2002","AK","Alaska","West Region",111.6154562,NA,NA,0.0636801625639338
"8/1/2002","AK","Alaska","West Region",111.9001717,NA,NA,0.0589952717050393
"9/1/2002","AK","Alaska","West Region",111.9784618,NA,NA,0.0555022311293583
"10/1/2002","AK","Alaska","West Region",112.057847,NA,NA,0.0560211861936402
"11/1/2002","AK","Alaska","West Region",112.3191605,NA,NA,0.0597029879589714
"12/1/2002","AK","Alaska","West Region",112.8285826,NA,NA,0.0633034859299528
"1/1/2003","AK","Alaska","West Region",113.4939898,NA,NA,0.0655473630799093
"2/1/2003","AK","Alaska","West Region",114.3193051,NA,NA,0.0670664496989033
"3/1/2003","AK","Alaska","West Region",115.2524265,NA,NA,0.0668379539451152
"4/1/2003","AK","Alaska","West Region",116.2283815,NA,NA,0.0646677507015565
"5/1/2003","AK","Alaska","West Region",117.3647863,NA,NA,0.0644184266282781
"6/1/2003","AK","Alaska","West Region",118.5647197,NA,NA,0.0674759187140697
"7/1/2003","AK","Alaska","West Region",119.7099035,NA,NA,0.0725208459077193
"8/1/2003","AK","Alaska","West Region",120.6737789,NA,NA,0.0784056634293797
"9/1/2003","AK","Alaska","West Region",121.1476706,NA,NA,0.0818836823850708
"10/1/2003","AK","Alaska","West Region",121.2145377,NA,NA,0.0817139624322785
"11/1/2003","AK","Alaska","West Region",121.3430444,NA,NA,0.0803414471745452
"12/1/2003","AK","Alaska","West Region",121.7669424,NA,NA,0.0792207044884032
"1/1/2004","AK","Alaska","West Region",122.439362,NA,NA,0.0788180256572495
"2/1/2004","AK","Alaska","West Region",123.2743718,NA,NA,0.0783338097810045
"3/1/2004","AK","Alaska","West Region",124.3188206,NA,NA,0.0786655376839289
"4/1/2004","AK","Alaska","West Region",125.7484118,NA,NA,0.0819079658267461
"5/1/2004","AK","Alaska","West Region",127.5184004,NA,NA,0.0865132926161174
"6/1/2004","AK","Alaska","West Region",129.3110907,NA,NA,0.0906371729059972
"7/1/2004","AK","Alaska","West Region",130.834849,NA,NA,0.0929325408736963
"8/1/2004","AK","Alaska","West Region",131.8660557,NA,NA,0.0927482084511071
"9/1/2004","AK","Alaska","West Region",132.3444517,NA,NA,0.0924225867864108
"10/1/2004","AK","Alaska","West Region",132.6510499,NA,NA,0.0943493446991055
"11/1/2004","AK","Alaska","West Region",133.1957031,NA,NA,0.097678929670896
"12/1/2004","AK","Alaska","West Region",133.9782602,NA,NA,0.100284342854617
"1/1/2005","AK","Alaska","West Region",134.9382312,NA,NA,0.102082116370387
"2/1/2005","AK","Alaska","West Region",136.1440662,NA,NA,0.104398783072931
"3/1/2005","AK","Alaska","West Region",137.6750802,NA,NA,0.107435539812385
"4/1/2005","AK","Alaska","West Region",139.3906891,NA,NA,0.108488664824632
"5/1/2005","AK","Alaska","West Region",141.1309664,NA,NA,0.106749817730618
"6/1/2005","AK","Alaska","West Region",143.0743512,NA,NA,0.106435267272864
"7/1/2005","AK","Alaska","West Region",145.1997226,NA,NA,0.109793940297971
"8/1/2005","AK","Alaska","West Region",147.0073478,NA,NA,0.114823272900852
"9/1/2005","AK","Alaska","West Region",148.1782171,NA,NA,0.119640568203737
"10/1/2005","AK","Alaska","West Region",148.7773756,NA,NA,0.121569529318893
"11/1/2005","AK","Alaska","West Region",148.9357711,NA,NA,0.118172490806124
"12/1/2005","AK","Alaska","West Region",149.0855687,NA,NA,0.112759401991399
"1/1/2006","AK","Alaska","West Region",149.6803554,NA,NA,0.109250907388506
"2/1/2006","AK","Alaska","West Region",150.7160988,NA,NA,0.10703391639995
"3/1/2006","AK","Alaska","West Region",152.1096605,NA,NA,0.104845265236315
"4/1/2006","AK","Alaska","West Region",153.746906,NA,NA,0.102992653187192
"5/1/2006","AK","Alaska","West Region",155.3267876,NA,NA,0.100586154563454
"6/1/2006","AK","Alaska","West Region",156.7131646,NA,NA,0.0953267534369919
"7/1/2006","AK","Alaska","West Region",157.679448,NA,NA,0.0859486862408096
"8/1/2006","AK","Alaska","West Region",157.8188509,NA,NA,0.0735439640385105
"9/1/2006","AK","Alaska","West Region",157.2336432,NA,NA,0.0611117226082483
"10/1/2006","AK","Alaska","West Region",156.4665781,NA,NA,0.0516826061018378
"11/1/2006","AK","Alaska","West Region",155.9507136,NA,NA,0.0471004544320648
"12/1/2006","AK","Alaska","West Region",155.6961042,NA,NA,0.0443405458867865
"1/1/2007","AK","Alaska","West Region",155.8138982,NA,NA,0.0409776071389527
"2/1/2007","AK","Alaska","West Region",156.5121018,NA,NA,0.0384564293141061
"3/1/2007","AK","Alaska","West Region",157.5708199,NA,NA,0.0359027781802197
"4/1/2007","AK","Alaska","West Region",158.8163355,NA,NA,0.0329725627129043
"5/1/2007","AK","Alaska","West Region",160.1034399,NA,NA,0.0307522763703898
"6/1/2007","AK","Alaska","West Region",161.1109507,NA,NA,0.0280626462443347
"7/1/2007","AK","Alaska","West Region",161.5695796,NA,NA,0.0246711391328565
"8/1/2007","AK","Alaska","West Region",161.3819833,NA,NA,0.022577356124952
"9/1/2007","AK","Alaska","West Region",160.5561487,NA,NA,0.0211310088119869
"10/1/2007","AK","Alaska","West Region",159.1423916,NA,NA,0.0171015020107992
"11/1/2007","AK","Alaska","West Region",157.3370462,NA,NA,0.00888955598854024
"12/1/2007","AK","Alaska","West Region",155.5744149,NA,NA,-0.000781582176543671
"1/1/2008","AK","Alaska","West Region",154.4611902,NA,NA,-0.00868156188649938
