Cycle	state	hpi	year	month	date	type	pmax	pmin
1975M01	AK	34.43	1975	1	1/1/1975	State	161.63	152.97
1975M02	AK	34.94	1975	2	2/1/1975	State	161.63	152.97
1975M03	AK	35.46	1975	3	3/1/1975	State	161.63	152.97
1975M04	AK	36.01	1975	4	4/1/1975	State	161.63	152.97
1975M05	AK	36.6	1975	5	5/1/1975	State	161.63	152.97
1975M06	AK	37.24	1975	6	6/1/1975	State	161.63	152.97
1975M07	AK	37.88	1975	7	7/1/1975	State	161.63	152.97
1975M08	AK	38.46	1975	8	8/1/1975	State	161.63	152.97
1975M09	AK	38.97	1975	9	9/1/1975	State	161.63	152.97
1975M10	AK	39.43	1975	10	10/1/1975	State	161.63	152.97
1975M11	AK	39.84	1975	11	11/1/1975	State	161.63	152.97
1975M12	AK	40.17	1975	12	12/1/1975	State	161.63	152.97
1976M01	AK	40.44	1976	1	1/1/1976	State	161.63	152.97
1976M02	AK	40.67	1976	2	2/1/1976	State	161.63	152.97
1976M03	AK	40.88	1976	3	3/1/1976	State	161.63	152.97
1976M04	AK	41.09	1976	4	4/1/1976	State	161.63	152.97
1976M05	AK	41.3	1976	5	5/1/1976	State	161.63	152.97
1976M06	AK	41.5	1976	6	6/1/1976	State	161.63	152.97
1976M07	AK	41.67	1976	7	7/1/1976	State	161.63	152.97
1976M08	AK	41.8	1976	8	8/1/1976	State	161.63	152.97
1976M09	AK	41.96	1976	9	9/1/1976	State	161.63	152.97
1976M10	AK	42.2	1976	10	10/1/1976	State	161.63	152.97
1976M11	AK	42.53	1976	11	11/1/1976	State	161.63	152.97
1976M12	AK	42.92	1976	12	12/1/1976	State	161.63	152.97
1977M01	AK	43.35	1977	1	1/1/1977	State	161.63	152.97
1977M02	AK	43.74	1977	2	2/1/1977	State	161.63	152.97
1977M03	AK	44.05	1977	3	3/1/1977	State	161.63	152.97
1977M04	AK	44.3	1977	4	4/1/1977	State	161.63	152.97
1977M05	AK	44.51	1977	5	5/1/1977	State	161.63	152.97
1977M06	AK	44.73	1977	6	6/1/1977	State	161.63	152.97
1977M07	AK	44.98	1977	7	7/1/1977	State	161.63	152.97
1977M08	AK	45.23	1977	8	8/1/1977	State	161.63	152.97
1977M09	AK	45.48	1977	9	9/1/1977	State	161.63	152.97
1977M10	AK	45.74	1977	10	10/1/1977	State	161.63	152.97
1977M11	AK	46.02	1977	11	11/1/1977	State	161.63	152.97
1977M12	AK	46.34	1977	12	12/1/1977	State	161.63	152.97
1978M01	AK	46.72	1978	1	1/1/1978	State	161.63	152.97
