date	state	hpi	year	month	type
1/1/1975	AK	34.40008666	1975	1	State
1/1/1975	AL	35.32403803	1975	1	State
1/1/1975	AR	36.83821324	1975	1	State
1/1/1975	AZ	28.88657136	1975	1	State
1/1/1975	CA	15.66571253	1975	1	State
1/1/1975	CO	19.66646039	1975	1	State
1/1/1975	CT	24.53064614	1975	1	State
1/1/1975	DC	18.2123263	1975	1	State
1/1/1975	DE	27.14697477	1975	1	State
1/1/1975	FL	30.90383823	1975	1	State
1/1/1975	GA	30.86215427	1975	1	State
1/1/1975	HI	26.64897095	1975	1	State
1/1/1975	IA	32.96851445	1975	1	State
1/1/1975	ID	31.82210453	1975	1	State
1/1/1975	IL	25.53461515	1975	1	State
1/1/1975	IN	32.36532709	1975	1	State
1/1/1975	KS	33.43664104	1975	1	State
1/1/1975	KY	31.40795994	1975	1	State
1/1/1975	LA	32.9766834	1975	1	State
1/1/1975	MA	15.87547754	1975	1	State
1/1/1975	MD	26.94350889	1975	1	State
1/1/1975	ME	28.8449394	1975	1	State
1/1/1975	MI	24.44270743	1975	1	State
1/1/1975	MN	25.39887843	1975	1	State
1/1/1975	MO	30.46949539	1975	1	State
1/1/1975	MS	42.33886431	1975	1	State
1/1/1975	MT	27.01538035	1975	1	State
1/1/1975	NC	28.23473426	1975	1	State
1/1/1975	ND	40.0586693	1975	1	State
1/1/1975	NE	31.34357901	1975	1	State
1/1/1975	NH	22.1301063	1975	1	State
1/1/1975	NJ	22.9589832	1975	1	State
1/1/1975	NM	27.89092153	1975	1	State
1/1/1975	NV	27.53186324	1975	1	State
1/1/1975	NY	23.89273219	1975	1	State
1/1/1975	OH	30.24211431	1975	1	State
1/1/1975	OK	37.81860427	1975	1	State
1/1/1975	OR	19.69332729	1975	1	State
1/1/1975	PA	28.76219237	1975	1	State
1/1/1975	RI	20.06247024	1975	1	State
1/1/1975	SC	30.77328643	1975	1	State
1/1/1975	SD	37.86148684	1975	1	State
1/1/1975	TN	32.2108506	1975	1	State
1/1/1975	TX	32.6599894	1975	1	State
1/1/1975	UT	24.60393884	1975	1	State
1/1/1975	VA	27.95453923	1975	1	State
1/1/1975	VT	26.55688411	1975	1	State
1/1/1975	WA	17.48030133	1975	1	State
1/1/1975	WI	28.14207896	1975	1	State
1/1/1975	WV	41.24834585	1975	1	State
1/1/1975	WY	31.82016433	1975	1	State
1/1/1975	US.NSA	23.53771579	1975	1	State
1/1/1975	US.SA	23.51154337	1975	1	State
2/1/1975	AK	34.91119442	1975	2	State
2/1/1975	AL	35.54534324	1975	2	State
2/1/1975	AR	37.14993528	1975	2	State
2/1/1975	AZ	29.37432228	1975	2	State
2/1/1975	CA	15.72151013	1975	2	State
2/1/1975	CO	19.89452028	1975	2	State
2/1/1975	CT	25.05165885	1975	2	State
2/1/1975	DC	18.34059617	1975	2	State
2/1/1975	DE	27.18564597	1975	2	State
2/1/1975	FL	32.12107731	1975	2	State
2/1/1975	GA	30.58351802	1975	2	State
2/1/1975	HI	26.59136406	1975	2	State
2/1/1975	IA	33.49138901	1975	2	State
2/1/1975	ID	31.83437117	1975	2	State
2/1/1975	IL	25.75535813	1975	2	State
2/1/1975	IN	32.87976745	1975	2	State
2/1/1975	KS	33.80832737	1975	2	State
2/1/1975	KY	31.42439038	1975	2	State
2/1/1975	LA	33.58210326	1975	2	State
2/1/1975	MA	15.77910159	1975	2	State
2/1/1975	MD	26.85255087	1975	2	State
2/1/1975	ME	28.58674094	1975	2	State
2/1/1975	MI	24.79817707	1975	2	State
2/1/1975	MN	25.64320081	1975	2	State
2/1/1975	MO	31.8204054	1975	2	State
2/1/1975	MS	41.99920845	1975	2	State
2/1/1975	MT	27.32568933	1975	2	State
2/1/1975	NC	28.50194952	1975	2	State
