"date","geo","statename","region","hpi","lat","long","hpa12"
"1/1/2000","US","US","US",92.8529233,38,-97,0.0811874352998756
"2/1/2000","US","US","US",93.30876729,38,-97,0.0805368500661132
"3/1/2000","US","US","US",94.25781627,38,-97,0.0828411991542144
"4/1/2000","US","US","US",95.36997931,38,-97,0.0850020731695549
"5/1/2000","US","US","US",96.47613957,38,-97,0.0863302210257744
"6/1/2000","US","US","US",97.42315263,38,-97,0.0863100625754125
"7/1/2000","US","US","US",98.1057155,38,-97,0.0855661134628534
"8/1/2000","US","US","US",98.53656222,38,-97,0.0844993088284616
"9/1/2000","US","US","US",98.88152517,38,-97,0.0845785005269102
"10/1/2000","US","US","US",99.31172716,38,-97,0.0866314953186422
"11/1/2000","US","US","US",99.70558508,38,-97,0.0874726054682569
"12/1/2000","US","US","US",100,38,-97,0.0831043160794698
"1/1/2001","US","US","US",100.374071,38,-97,0.0810006560127332
"2/1/2001","US","US","US",101.0426278,38,-97,0.0828846070376588
"3/1/2001","US","US","US",102.0190712,38,-97,0.0823407037965742
"4/1/2001","US","US","US",103.0831576,38,-97,0.0808763758344575
"5/1/2001","US","US","US",104.0526404,38,-97,0.0785323797549209
"6/1/2001","US","US","US",104.941668,38,-97,0.0771738048608868
"7/1/2001","US","US","US",105.6925271,38,-97,0.0773330234771084
"8/1/2001","US","US","US",106.1837115,38,-97,0.0776072262692342
"9/1/2001","US","US","US",106.5383469,38,-97,0.0774343004604365
"10/1/2001","US","US","US",106.8222224,38,-97,0.0756254619144818
"11/1/2001","US","US","US",106.995216,38,-97,0.0731115605424819
"12/1/2001","US","US","US",107.2266948,38,-97,0.072266948
"1/1/2002","US","US","US",107.7116099,38,-97,0.0731019358575185
"2/1/2002","US","US","US",108.5009476,38,-97,0.0738135969183493
"3/1/2002","US","US","US",109.661737,38,-97,0.0749140892002162
"4/1/2002","US","US","US",111.0400369,38,-97,0.0771889364397973
"5/1/2002","US","US","US",112.4175484,38,-97,0.0803911171099894
"6/1/2002","US","US","US",113.7509343,38,-97,0.0839444090025325
"7/1/2002","US","US","US",114.9413935,38,-97,0.0875072879206424
"8/1/2002","US","US","US",115.807419,38,-97,0.0906326155306787
"9/1/2002","US","US","US",116.4539596,38,-97,0.0930708330710921
"10/1/2002","US","US","US",117.0880434,38,-97,0.0961019230770095
"11/1/2002","US","US","US",117.5612998,38,-97,0.0987528619971196
"12/1/2002","US","US","US",117.9179306,38,-97,0.0997068483733585
"1/1/2003","US","US","US",118.3142189,38,-97,0.098435154853256
"2/1/2003","US","US","US",118.9247664,38,-97,0.0960712236212764
"3/1/2003","US","US","US",120.0199749,38,-97,0.0944562632634571
