date	nsales	moe	down	up	month	mname
01/01/2000	873.00	6.00	786.8	959.2	1	Jan
02/01/2000	856.00	6.00	771.5	940.5	2	Feb
03/01/2000	900.00	6.00	811.2	988.8	3	Mar
04/01/2000	841.00	5.00	771.8	910.2	4	Apr
05/01/2000	857.00	5.00	786.5	927.5	5	May
06/01/2000	793.00	5.00	727.8	858.2	6	Jun
07/01/2000	887.00	5.00	814.1	959.9	7	Jul
08/01/2000	848.00	5.00	778.3	917.7	8	Aug
09/01/2000	912.00	5.00	837.0	987.0	9	Sep
10/01/2000	933.00	5.00	856.3	1009.7	10	Oct
11/01/2000	880.00	6.00	793.2	966.8	11	Nov
12/01/2000	983.00	6.00	886.0	1080.0	12	Dec
01/01/2001	936.00	6.00	843.6	1028.4	1	Jan
02/01/2001	963.00	6.00	868.0	1058.0	2	Feb
03/01/2001	939.00	6.00	846.3	1031.7	3	Mar
04/01/2001	909.00	6.00	819.3	998.7	4	Apr
05/01/2001	885.00	6.00	797.7	972.3	5	May
06/01/2001	882.00	5.00	809.5	954.5	6	Jun
07/01/2001	880.00	6.00	793.2	966.8	7	Jul
08/01/2001	866.00	6.00	780.5	951.5	8	Aug
09/01/2001	853.00	6.00	768.8	937.2	9	Sep
10/01/2001	871.00	6.00	785.0	957.0	10	Oct
11/01/2001	924.00	6.00	832.8	1015.2	11	Nov
12/01/2001	979.00	6.00	882.4	1075.6	12	Dec
01/01/2002	880.00	6.00	793.2	966.8	1	Jan
02/01/2002	948.00	6.00	854.4	1041.6	2	Feb
03/01/2002	923.00	6.00	831.9	1014.1	3	Mar
04/01/2002	936.00	6.00	843.6	1028.4	4	Apr
05/01/2002	978.00	6.00	881.5	1074.5	5	May
06/01/2002	957.00	6.00	862.6	1051.4	6	Jun
07/01/2002	956.00	5.00	877.4	1034.6	7	Jul
08/01/2002	1014.00	5.00	930.6	1097.4	8	Aug
09/01/2002	1044.00	6.00	941.0	1147.0	9	Sep
10/01/2002	1006.00	6.00	906.7	1105.3	10	Oct
11/01/2002	1024.00	6.00	922.9	1125.1	11	Nov
12/01/2002	1048.00	7.00	927.3	1168.7	12	Dec
01/01/2003	999.00	7.00	884.0	1114.0	1	Jan
02/01/2003	936.00	7.00	828.2	1043.8	2	Feb
03/01/2003	999.00	7.00	884.0	1114.0	3	Mar
04/01/2003	1012.00	6.00	912.1	1111.9	4	Apr
05/01/2003	1078.00	6.00	971.6	1184.4	5	May
06/01/2003	1193.00	6.00	1075.3	1310.7	6	Jun
07/01/2003	1168.00	6.00	1052.7	1283.3	7	Jul
08/01/2003	1206.00	6.00	1087.0	1325.0	8	Aug
09/01/2003	1131.00	6.00	1019.4	1242.6	9	Sep
10/01/2003	1144.00	6.00	1031.1	1256.9	10	Oct
11/01/2003	1093.00	6.00	985.1	1200.9	11	Nov
12/01/2003	1129.00	6.00	1017.6	1240.4	12	Dec
01/01/2004	1165.00	6.00	1050.0	1280.0	1	Jan
02/01/2004	1159.00	6.00	1044.6	1273.4	2	Feb
03/01/2004	1276.00	6.00	1150.1	1401.9	3	Mar
04/01/2004	1186.00	6.00	1069.0	1303.0	4	Apr
05/01/2004	1241.00	6.00	1118.5	1363.5	5	May
06/01/2004	1180.00	6.00	1063.5	1296.5	6	Jun
07/01/2004	1088.00	6.00	980.6	1195.4	7	Jul
08/01/2004	1175.00	6.00	1059.0	1291.0	8	Aug
09/01/2004	1214.00	6.00	1094.2	1333.8	9	Sep
10/01/2004	1305.00	6.00	1176.2	1433.8	10	Oct
11/01/2004	1179.00	6.00	1062.6	1295.4	11	Nov
12/01/2004	1242.00	7.00	1099.0	1385.0	12	Dec
01/01/2005	1203.00	7.00	1064.5	1341.5	1	Jan
02/01/2005	1319.00	7.00	1167.1	1470.9	2	Feb
03/01/2005	1328.00	7.00	1175.1	1480.9	3	Mar
04/01/2005	1260.00	7.00	1114.9	1405.1	4	Apr
05/01/2005	1286.00	7.00	1137.9	1434.1	5	May
06/01/2005	1274.00	7.00	1127.3	1420.7	6	Jun
07/01/2005	1389.00	7.00	1229.1	1548.9	7	Jul
08/01/2005	1255.00	7.00	1110.5	1399.5	8	Aug
09/01/2005	1244.00	7.00	1100.8	1387.2	9	Sep
10/01/2005	1336.00	8.00	1160.2	1511.8	10	Oct
11/01/2005	1214.00	7.00	1074.2	1353.8	11	Nov
12/01/2005	1239.00	7.00	1096.3	1381.7	12	Dec
01/01/2006	1174.00	7.00	1038.8	1309.2	1	Jan
02/01/2006	1061.00	8.00	921.4	1200.6	2	Feb
03/01/2006	1116.00	8.00	969.1	1262.9	3	Mar
04/01/2006	1123.00	7.00	993.7	1252.3	4	Apr
05/01/2006	1086.00	7.00	961.0	1211.0	5	May
06/01/2006	1074.00	7.00	950.3	1197.7	6	Jun
07/01/2006	965.00	7.00	853.9	1076.1	7	Jul
08/01/2006	1035.00	7.00	915.8	1154.2	8	Aug
09/01/2006	1016.00	7.00	899.0	1133.0	9	Sep
10/01/2006	941.00	7.00	832.7	1049.3	10	Oct
11/01/2006	1003.00	8.00	871.0	1135.0	11	Nov
12/01/2006	998.00	8.00	866.7	1129.3	12	Dec
01/01/2007	891.00	8.00	773.8	1008.2	1	Jan
02/01/2007	828.00	8.00	719.0	937.0	2	Feb
03/01/2007	833.00	8.00	723.4	942.6	3	Mar
04/01/2007	887.00	8.00	770.3	1003.7	4	Apr
05/01/2007	842.00	7.00	745.1	938.9	5	May
06/01/2007	793.00	7.00	701.7	884.3	6	Jun
07/01/2007	778.00	7.00	688.4	867.6	7	Jul
08/01/2007	699.00	7.00	618.5	779.5	8	Aug
09/01/2007	686.00	7.00	607.0	765.0	9	Sep
10/01/2007	727.00	7.00	643.3	810.7	10	Oct
11/01/2007	641.00	7.00	567.2	714.8	11	Nov
12/01/2007	619.00	7.00	547.7	690.3	12	Dec
01/01/2008	627.00	7.00	554.8	699.2	1	Jan
02/01/2008	593.00	7.00	524.7	661.3	2	Feb
03/01/2008	535.00	8.00	464.6	605.4	3	Mar
04/01/2008	536.00	8.00	465.5	606.5	4	Apr
05/01/2008	504.00	8.00	437.7	570.3	5	May
06/01/2008	487.00	8.00	422.9	551.1	6	Jun
07/01/2008	477.00	8.00	414.2	539.8	7	Jul
08/01/2008	435.00	7.00	384.9	485.1	8	Aug
09/01/2008	433.00	7.00	383.1	482.9	9	Sep
10/01/2008	393.00	7.00	347.8	438.2	10	Oct
11/01/2008	389.00	7.00	344.2	433.8	11	Nov
12/01/2008	377.00	8.00	327.4	426.6	12	Dec
01/01/2009	336.00	8.00	291.8	380.2	1	Jan
02/01/2009	372.00	8.00	323.0	421.0	2	Feb
03/01/2009	339.00	8.00	294.4	383.6	3	Mar
04/01/2009	337.00	8.00	292.7	381.3	4	Apr
05/01/2009	376.00	8.00	326.5	425.5	5	May
06/01/2009	393.00	8.00	341.3	444.7	6	Jun
07/01/2009	411.00	8.00	356.9	465.1	7	Jul
08/01/2009	418.00	8.00	363.0	473.0	8	Aug
09/01/2009	386.00	8.00	335.2	436.8	9	Sep
10/01/2009	396.00	8.00	343.9	448.1	10	Oct
11/01/2009	375.00	8.00	325.7	424.3	11	Nov
12/01/2009	352.00	8.00	305.7	398.3	12	Dec
01/01/2010	345.00	8.00	299.6	390.4	1	Jan
02/01/2010	336.00	8.00	291.8	380.2	2	Feb
03/01/2010	381.00	8.00	330.9	431.1	3	Mar
04/01/2010	422.00	8.00	366.5	477.5	4	Apr
05/01/2010	280.00	8.00	243.2	316.8	5	May
06/01/2010	305.00	8.00	264.9	345.1	6	Jun
07/01/2010	283.00	8.00	245.8	320.2	7	Jul
08/01/2010	282.00	8.00	244.9	319.1	8	Aug
09/01/2010	317.00	8.00	275.3	358.7	9	Sep
10/01/2010	291.00	8.00	252.7	329.3	10	Oct
11/01/2010	287.00	8.00	249.2	324.8	11	Nov
12/01/2010	326.00	8.00	283.1	368.9	12	Dec
01/01/2011	307.00	8.00	266.6	347.4	1	Jan
02/01/2011	270.00	8.00	234.5	305.5	2	Feb
03/01/2011	300.00	8.00	260.5	339.5	3	Mar
04/01/2011	310.00	8.00	269.2	350.8	4	Apr
05/01/2011	305.00	8.00	264.9	345.1	5	May
06/01/2011	301.00	8.00	261.4	340.6	6	Jun
07/01/2011	296.00	8.00	257.0	335.0	7	Jul
08/01/2011	299.00	8.00	259.7	338.3	8	Aug
09/01/2011	304.00	8.00	264.0	344.0	9	Sep
10/01/2011	316.00	8.00	274.4	357.6	10	Oct
11/01/2011	328.00	8.00	284.8	371.2	11	Nov
12/01/2011	341.00	9.00	290.5	391.5	12	Dec
01/01/2012	335.00	9.00	285.4	384.6	1	Jan
02/01/2012	366.00	9.00	311.8	420.2	2	Feb
03/01/2012	354.00	9.00	301.6	406.4	3	Mar
04/01/2012	354.00	8.00	307.4	400.6	4	Apr
05/01/2012	370.00	8.00	321.3	418.7	5	May
06/01/2012	360.00	8.00	312.6	407.4	6	Jun
07/01/2012	369.00	8.00	320.4	417.6	7	Jul
08/01/2012	375.00	7.00	331.8	418.2	8	Aug
09/01/2012	385.00	7.00	340.7	429.3	9	Sep
10/01/2012	358.00	8.00	310.9	405.1	10	Oct
11/01/2012	392.00	8.00	340.4	443.6	11	Nov
12/01/2012	399.00	9.00	339.9	458.1	12	Dec
01/01/2013	442.00	9.00	376.6	507.4	1	Jan
02/01/2013	439.00	9.00	374.0	504.0	2	Feb
03/01/2013	449.00	9.00	382.5	515.5	3	Mar
04/01/2013	451.00	9.00	384.2	517.8	4	Apr
05/01/2013	430.00	9.00	366.3	493.7	5	May
06/01/2013	463.00	9.00	394.5	531.5	6	Jun
07/01/2013	376.00	9.00	320.3	431.7	7	Jul
08/01/2013	380.00	9.00	323.7	436.3	8	Aug
09/01/2013	399.00	8.00	346.5	451.5	9	Sep
10/01/2013	444.00	8.00	385.6	502.4	10	Oct
11/01/2013	446.00	8.00	387.3	504.7	11	Nov
12/01/2013	441.00	8.00	383.0	499.0	12	Dec
01/01/2014	447.00	8.00	388.2	505.8	1	Jan
02/01/2014	423.00	8.00	367.3	478.7	2	Feb
03/01/2014	410.00	9.00	349.3	470.7	3	Mar
04/01/2014	401.00	9.00	341.6	460.4	4	Apr
05/01/2014	452.00	8.00	392.5	511.5	5	May
06/01/2014	416.00	8.00	361.3	470.7	6	Jun
07/01/2014	402.00	8.00	349.1	454.9	7	Jul
08/01/2014	449.00	8.00	389.9	508.1	8	Aug
09/01/2014	466.00	8.00	404.7	527.3	9	Sep
10/01/2014	474.00	8.00	411.6	536.4	10	Oct
11/01/2014	446.00	8.00	387.3	504.7	11	Nov
12/01/2014	492.00	8.00	427.3	556.7	12	Dec
01/01/2015	524.00	9.00	446.4	601.6	1	Jan
02/01/2015	549.00	9.00	467.7	630.3	2	Feb
03/01/2015	490.00	9.00	417.5	562.5	3	Mar
04/01/2015	500.00	9.00	426.0	574.0	4	Apr
05/01/2015	507.00	8.00	440.3	573.7	5	May
06/01/2015	472.00	8.00	409.9	534.1	6	Jun
07/01/2015	498.00	8.00	432.5	563.5	7	Jul
08/01/2015	505.00	8.00	438.5	571.5	8	Aug
09/01/2015	457.00	8.00	396.9	517.1	9	Sep
10/01/2015	478.00	9.00	407.2	548.8	10	Oct
11/01/2015	508.00	9.00	432.8	583.2	11	Nov
12/01/2015	538.00	9.00	458.4	617.6	12	Dec
01/01/2016	526.00	9.00	448.1	603.9	1	Jan
02/01/2016	525.00	9.00	447.3	602.7	2	Feb
3/1/2016	522.00	9.00	444.7	599.3	3	Mar
4/1/2016	586.00	8.00	508.9	663.1	4	Apr
5/1/2016	551.00	8.00	478.5	623.5	5	May
