per_idx	cat_idx	dt_idx	et_idx	geo_idx	is_adj	val
1	2	1	0	1	0	75.7
1	2	1	0	2	0	11.4
1	2	1	0	3	0	11.8
1	2	1	0	4	0	26.8
1	2	1	0	5	0	25.6
1	2	2	0	1	0	55.7
1	2	3	0	1	0	14.8
1	4	1	0	1	1	1657
1	4	1	0	2	1	350
1	4	1	0	3	1	452
1	4	1	0	4	1	505
1	4	1	0	5	1	350
1	4	2	0	1	1	1336
1	5	1	0	1	0	96.2
1	5	1	0	2	0	15.4
1	5	1	0	3	0	19.8
1	5	1	0	4	0	34.5
1	5	1	0	5	0	26.6
1	5	2	0	1	0	75.7
2	2	1	0	1	0	79
2	2	1	0	2	0	13.2
2	2	1	0	3	0	12.7
2	2	1	0	4	0	29.4
2	2	1	0	5	0	23.8
2	2	2	0	1	0	59.9
2	2	3	0	1	0	13.9
2	4	1	0	1	1	1667
2	4	1	0	2	1	346
2	4	1	0	3	1	469
2	4	1	0	4	1	508
2	4	1	0	5	1	344
2	4	2	0	1	1	1317
2	5	1	0	1	0	99
2	5	1	0	2	0	16.5
2	5	1	0	3	0	19.3
2	5	1	0	4	0	37.7
2	5	1	0	5	0	25.6
2	5	2	0	1	0	78.8
3	2	1	0	1	0	119
3	2	1	0	2	0	22.4
3	2	1	0	3	0	25.9
3	2	1	0	4	0	34.8
3	2	1	0	5	0	35.8
3	2	2	0	1	0	91.3
3	2	3	0	1	0	19.3
3	4	1	0	1	1	1620
3	4	1	0	2	1	330
3	4	1	0	3	1	413
3	4	1	0	4	1	503
3	4	1	0	5	1	374
3	4	2	0	1	1	1254
3	5	1	0	1	0	127.7
3	5	1	0	2	0	23
3	5	1	0	3	0	27.9
3	5	1	0	4	0	43.8
3	5	1	0	5	0	32.9
3	5	2	0	1	0	102.2
4	2	1	0	1	0	127.9
4	2	1	0	2	0	23.4
4	2	1	0	3	0	34.7
4	2	1	0	4	0	36
4	2	1	0	5	0	33.8
4	2	2	0	1	0	99.7
4	2	3	0	1	0	20.2
4	4	1	0	1	1	1590
4	4	1	0	2	1	275
4	4	1	0	3	1	391
4	4	1	0	4	1	536
4	4	1	0	5	1	388
4	4	2	0	1	1	1282
4	5	1	0	1	0	150.8
4	5	1	0	2	0	27.2
4	5	1	0	3	0	38.5
4	5	1	0	4	0	49.4
4	5	1	0	5	0	35.6
4	5	2	0	1	0	122.3
5	2	1	0	1	0	120.8
5	2	1	0	2	0	23
5	2	1	0	3	0	30
5	2	1	0	4	0	32.3
5	2	1	0	5	0	35.4
5	2	2	0	1	0	93.5
5	2	3	0	1	0	19.7
5	4	1	0	1	1	1498
5	4	1	0	2	1	260
5	4	1	0	3	1	355
5	4	1	0	4	1	487
5	4	1	0	5	1	396
5	4	2	0	1	1	1213
5	5	1	0	1	0	152.5
5	5	1	0	2	0	28.1
5	5	1	0	3	0	39.2
5	5	1	0	4	0	48.1
5	5	1	0	5	0	37.1
5	5	2	0	1	0	123.8
6	2	1	0	1	0	120.9
6	2	1	0	2	0	24
6	2	1	0	3	0	33
6	2	1	0	4	0	31.7
6	2	1	0	5	0	32.2
6	2	2	0	1	0	94.9
6	2	3	0	1	0	18.2
6	4	1	0	1	1	1503
6	4	1	0	2	1	254
6	4	1	0	3	1	343
6	4	1	0	4	1	518
6	4	1	0	5	1	388
6	4	2	0	1	1	1203
6	5	1	0	1	0	147.8
6	5	1	0	2	0	28.2
6	5	1	0	3	0	38.5
6	5	1	0	4	0	46.5
6	5	1	0	5	0	34.6
6	5	2	0	1	0	121.2
7	2	1	0	1	0	112.3
7	2	1	0	2	0	20.6
7	2	1	0	3	0	30.8
7	2	1	0	4	0	32.7
7	2	1	0	5	0	28.2
7	2	2	0	1	0	90.2
7	2	3	0	1	0	15.8
7	4	1	0	1	1	1547
7	4	1	0	2	1	271
7	4	1	0	3	1	371
7	4	1	0	4	1	533
7	4	1	0	5	1	372
7	4	2	0	1	1	1256
7	5	1	0	1	0	148.1
7	5	1	0	2	0	26.8
7	5	1	0	3	0	39.4
7	5	1	0	4	0	49.1
7	5	1	0	5	0	32.9
7	5	2	0	1	0	122.8
8	2	1	0	1	0	106.4
8	2	1	0	2	0	18.4
8	2	1	0	3	0	26.5
8	2	1	0	4	0	30.4
8	2	1	0	5	0	31.2
8	2	2	0	1	0	85.4
8	2	3	0	1	0	15.2
8	4	1	0	1	1	1430
8	4	1	0	2	1	230
8	4	1	0	3	1	350
8	4	1	0	4	1	474
8	4	1	0	5	1	376
8	4	2	0	1	1	1193
8	5	1	0	1	0	138.2
8	5	1	0	2	0	23.4
8	5	1	0	3	0	38.4
8	5	1	0	4	0	44
8	5	1	0	5	0	32.3
8	5	2	0	1	0	114.9
