cycle	date	state	hpi	year	month	type
1975M01	1/1/1975	AK	34.4479239	1975	1	State
1975M01	1/1/1975	AL	35.3110453	1975	1	State
1975M01	1/1/1975	AR	36.83328762	1975	1	State
1975M01	1/1/1975	AZ	28.92846484	1975	1	State
1975M01	1/1/1975	CA	15.67171141	1975	1	State
1975M01	1/1/1975	CO	19.65145093	1975	1	State
1975M01	1/1/1975	CT	24.54894739	1975	1	State
1975M01	1/1/1975	DC	18.20256587	1975	1	State
1975M01	1/1/1975	DE	27.13904272	1975	1	State
1975M01	1/1/1975	FL	31.04007766	1975	1	State
1975M01	1/1/1975	GA	30.86056169	1975	1	State
1975M01	1/1/1975	HI	26.6816045	1975	1	State
1975M01	1/1/1975	IA	33.02099035	1975	1	State
1975M01	1/1/1975	ID	32.11435671	1975	1	State
1975M01	1/1/1975	IL	25.51798286	1975	1	State
1975M01	1/1/1975	IN	32.10512407	1975	1	State
1975M01	1/1/1975	KS	33.43630652	1975	1	State
1975M01	1/1/1975	KY	31.45471987	1975	1	State
1975M01	1/1/1975	LA	33.05502078	1975	1	State
1975M01	1/1/1975	MA	15.89143027	1975	1	State
1975M01	1/1/1975	MD	26.92844399	1975	1	State
1975M01	1/1/1975	ME	28.82471202	1975	1	State
1975M01	1/1/1975	MI	24.43052983	1975	1	State
1975M01	1/1/1975	MN	25.38888256	1975	1	State
1975M01	1/1/1975	MO	30.49476918	1975	1	State
1975M01	1/1/1975	MS	42.24068829	1975	1	State
1975M01	1/1/1975	MT	26.95947415	1975	1	State
1975M01	1/1/1975	NC	28.21055342	1975	1	State
1975M01	1/1/1975	ND	39.99197948	1975	1	State
1975M01	1/1/1975	NE	31.3166255	1975	1	State
1975M01	1/1/1975	NH	22.04580195	1975	1	State
1975M01	1/1/1975	NJ	22.96077897	1975	1	State
1975M01	1/1/1975	NM	27.81743937	1975	1	State
1975M01	1/1/1975	NV	27.54635923	1975	1	State
1975M01	1/1/1975	NY	23.84862382	1975	1	State
1975M01	1/1/1975	OH	30.24840345	1975	1	State
1975M01	1/1/1975	OK	37.82514679	1975	1	State
1975M01	1/1/1975	OR	19.71640043	1975	1	State
1975M01	1/1/1975	PA	28.6979926	1975	1	State
1975M01	1/1/1975	RI	20.06358258	1975	1	State
1975M01	1/1/1975	SC	30.75105473	1975	1	State
1975M01	1/1/1975	SD	37.81694978	1975	1	State
1975M01	1/1/1975	TN	32.18463336	1975	1	State
1975M01	1/1/1975	TX	32.63843533	1975	1	State
