metro	var	percentile	cat	value
"Akron, OH"	Price Income Ratio	0.829	Affordability	2.665321144
"Akron, OH"	Cost Burdened Renters	0.849	Affordability	0.473411343
"Akron, OH"	Vacancy Rate	0.606	Affordability	0.087485355
"Akron, OH"	Job Growth	0.212	Job Availability	0.012546103
"Akron, OH"	Working Age Emp-Pop	0.595	Job Availability	0.778378479
"Akron, OH"	Start-Ups	0.06	Job Availability	0.139139893
"Akron, OH"	Quality of Life	0.444	Livability	-0.016
"Akron, OH"	Household Purchasing Power	0.585	Livability	56848.14398
"Akron, OH"	Housing Unit Growth	0.161	Policy	0.076518338
"Akron, OH"	Housing Cost Differential	0.455	Policy	-0.032
"Albany, NY"	Price Income Ratio	0.566	Affordability	3.162290211
"Albany, NY"	Cost Burdened Renters	0.95	Affordability	0.460325199
"Albany, NY"	Vacancy Rate	0.757	Affordability	0.098530104
"Albany, NY"	Job Growth	0.343	Job Availability	0.053949151
"Albany, NY"	Working Age Emp-Pop	0.929	Job Availability	0.813370083
"Albany, NY"	Start-Ups	0.373	Job Availability	0.164406002
"Albany, NY"	Quality of Life	0.141	Livability	-0.041
"Albany, NY"	Household Purchasing Power	0.838	Livability	62893.93939
"Albany, NY"	Housing Unit Growth	0.232	Policy	0.092096003
"Albany, NY"	Housing Cost Differential	0.718	Policy	-0.132
"Albuquerque, NM"	Price Income Ratio	0.334	Affordability	3.650616843
"Albuquerque, NM"	Cost Burdened Renters	0.243	Affordability	0.540720788
"Albuquerque, NM"	Vacancy Rate	0.565	Affordability	0.084701213
"Albuquerque, NM"	Job Growth	0.424	Job Availability	0.066549912
"Albuquerque, NM"	Working Age Emp-Pop	0.101	Job Availability	0.729189031
"Albuquerque, NM"	Start-Ups	0.454	Job Availability	0.170694645
"Albuquerque, NM"	Quality of Life	0.858	Livability	0.049
"Albuquerque, NM"	Household Purchasing Power	0.131	Livability	49002.05973
"Albuquerque, NM"	Housing Unit Growth	0.696	Policy	0.243967434
"Albuquerque, NM"	Housing Cost Differential	0.384	Policy	0.013
"Allentown, PA-NJ"	Price Income Ratio	0.516	Affordability	3.247679045
"Allentown, PA-NJ"	Cost Burdened Renters	0.263	Affordability	0.537767594
"Allentown, PA-NJ"	Vacancy Rate	0.272	Affordability	0.063893707
"Allentown, PA-NJ"	Job Growth	0.525	Job Availability	0.09771554
"Allentown, PA-NJ"	Working Age Emp-Pop	0.878	Job Availability	0.80224621
"Allentown, PA-NJ"	Start-Ups	0.191	Job Availability	0.148603846
"Allentown, PA-NJ"	Quality of Life	0.404	Livability	-0.022
"Allentown, PA-NJ"	Household Purchasing Power	0.737	Livability	60320
"Allentown, PA-NJ"	Housing Unit Growth	0.323	Policy	0.120129268
"Allentown, PA-NJ"	Housing Cost Differential	0.516	Policy	-0.064
