cbsa	cbsa.name	metro.micro	city	FIPS.st	FIPS.place	state	name	metro.pop
10100	"Aberdeen, SD"	Micropolitan Statistical Area	Aberdeen	46	00100	SD	Aberdeen SD	42784
10140	"Aberdeen, WA"	Micropolitan Statistical Area	Aberdeen	53	00100	WA	Aberdeen WA	71122
10180	"Abilene, TX"	Metropolitan Statistical Area	Abilene	48	01000	TX	Abilene TX	169578
10220	"Ada, OK"	Micropolitan Statistical Area	Ada	40	00200	OK	Ada OK	38194
10260	"Adjuntas, PR"	Micropolitan Statistical Area	Adjuntas	72	00358	PR	Adjuntas PR	18579
10300	"Adrian, MI"	Micropolitan Statistical Area	Adrian	26	00440	MI	Adrian MI	98573
10380	"Aguadilla-Isabela, PR"	Metropolitan Statistical Area	Aguadilla	72	00745	PR	Aguadilla PR	315685
10380	"Aguadilla-Isabela, PR"	Metropolitan Statistical Area	Isabela	72	36478	PR	Isabela PR	315685
10420	"Akron, OH"	Metropolitan Statistical Area	Akron	39	01000	OH	Akron OH	704243
10460	"Alamogordo, NM"	Micropolitan Statistical Area	Alamogordo	35	01780	NM	Alamogordo NM	64362
10500	"Albany, GA"	Metropolitan Statistical Area	Albany	13	01052	GA	Albany GA	153526
10540	"Albany, OR"	Metropolitan Statistical Area	Albany	41	01000	OR	Albany OR	120547
10580	"Albany-Schenectady-Troy, NY"	Metropolitan Statistical Area	Albany	36	01000	NY	Albany NY	881830
10580	"Albany-Schenectady-Troy, NY"	Metropolitan Statistical Area	Schenectady	36	65508	NY	Schenectady NY	881830
10580	"Albany-Schenectady-Troy, NY"	Metropolitan Statistical Area	Troy	36	75484	NY	Troy NY	881830
10620	"Albemarle, NC"	Micropolitan Statistical Area	Albemarle	37	00680	NC	Albemarle NC	60714
10660	"Albert Lea, MN"	Micropolitan Statistical Area	Albert Lea	27	00694	MN	Albert Lea MN	30613
10700	"Albertville, AL"	Micropolitan Statistical Area	Albertville	01	00988	AL	Albertville AL	94725
10740	"Albuquerque, NM"	Metropolitan Statistical Area	Albuquerque	35	02000	NM	Albuquerque NM	907301
10760	"Alexander City, AL"	Micropolitan Statistical Area	Alexander City	01	01132	AL	Alexander City AL	0
10780	"Alexandria, LA"	Metropolitan Statistical Area	Alexandria	22	00975	LA	Alexandria LA	154484
10820	"Alexandria, MN"	Micropolitan Statistical Area	Alexandria	27	00928	MN	Alexandria MN	37075
10860	"Alice, TX"	Micropolitan Statistical Area	Alice	48	01852	TX	Alice TX	41382
10900	"Allentown-Bethlehem-Easton, PA-NJ"	Metropolitan Statistical Area	Allentown	42	02000	PA	Allentown PA	832327
10900	"Allentown-Bethlehem-Easton, PA-NJ"	Metropolitan Statistical Area	Bethlehem	42	06088	PA	Bethlehem PA	832327
10940	"Alma, MI"	Micropolitan Statistical Area	Alma	26	01540	MI	Alma MI	41540
10980	"Alpena, MI"	Micropolitan Statistical Area	Alpena	26	01740	MI	Alpena MI	28803
11020	"Altoona, PA"	Metropolitan Statistical Area	Altoona	42	02184	PA	Altoona PA	125593
11060	"Altus, OK"	Micropolitan Statistical Area	Altus	40	01700	OK	Altus OK	25574
11100	"Amarillo, TX"	Metropolitan Statistical Area	Amarillo	48	03000	TX	Amarillo TX	262056
11140	"Americus, GA"	Micropolitan Statistical Area	Americus	13	02116	GA	Americus GA	35947
11180	"Ames, IA"	Metropolitan Statistical Area	Ames	19	01855	IA	Ames IA	96021
11220	"Amsterdam, NY"	Micropolitan Statistical Area	Amsterdam	36	02066	NY	Amsterdam NY	49642
11260	"Anchorage, AK"	Metropolitan Statistical Area	Anchorage	02	03000	AK	Anchorage AK	399790
11380	"Andrews, TX"	Micropolitan Statistical Area	Andrews	48	03216	TX	Andrews TX	18105
11420	"Angola, IN"	Micropolitan Statistical Area	Angola	18	01666	IN	Angola IN	34372
11460	"Ann Arbor, MI"	Metropolitan Statistical Area	Ann Arbor	26	03000	MI	Ann Arbor MI	358880
11500	"Anniston-Oxford-Jacksonville, AL"	Metropolitan Statistical Area	Anniston	01	01852	AL	Anniston AL	115620
11500	"Anniston-Oxford-Jacksonville, AL"	Metropolitan Statistical Area	Jacksonville	01	38272	AL	Jacksonville AL	115620
11500	"Anniston-Oxford-Jacksonville, AL"	Metropolitan Statistical Area	Oxford	01	57576	AL	Oxford AL	115620
11540	"Appleton, WI"	Metropolitan Statistical Area	Appleton	55	02375	WI	Appleton WI	233007
11580	"Arcadia, FL"	Micropolitan Statistical Area	Arcadia	12	01750	FL	Arcadia FL	35458
