date	type	debt
3/1/2003	Mortgage	4.942
3/1/2003	HE Revolving	0.242
3/1/2003	Auto Loan	0.641
3/1/2003	Credit Card	0.688
3/1/2003	Student Loan	0.2407
3/1/2003	Other	0.4776
3/1/2003	Total	7.2313
6/1/2003	Mortgage	5.08
6/1/2003	HE Revolving	0.26
6/1/2003	Auto Loan	0.622
6/1/2003	Credit Card	0.693
6/1/2003	Student Loan	0.2429
6/1/2003	Other	0.486
6/1/2003	Total	7.3839
9/1/2003	Mortgage	5.183
9/1/2003	HE Revolving	0.269
9/1/2003	Auto Loan	0.684
9/1/2003	Credit Card	0.693
9/1/2003	Student Loan	0.2488
9/1/2003	Other	0.4773
9/1/2003	Total	7.5551
12/1/2003	Mortgage	5.66
12/1/2003	HE Revolving	0.302
12/1/2003	Auto Loan	0.704
12/1/2003	Credit Card	0.698
12/1/2003	Student Loan	0.2529
12/1/2003	Other	0.4486
12/1/2003	Total	8.0655
3/1/2004	Mortgage	5.84
3/1/2004	HE Revolving	0.328
3/1/2004	Auto Loan	0.72
3/1/2004	Credit Card	0.695
3/1/2004	Student Loan	0.2598
3/1/2004	Other	0.4465
3/1/2004	Total	8.2893
6/1/2004	Mortgage	5.967
6/1/2004	HE Revolving	0.367
6/1/2004	Auto Loan	0.743
6/1/2004	Credit Card	0.697
6/1/2004	Student Loan	0.2629
6/1/2004	Other	0.4231
6/1/2004	Total	8.46
9/1/2004	Mortgage	6.21
9/1/2004	HE Revolving	0.426
9/1/2004	Auto Loan	0.751
9/1/2004	Credit Card	0.706
9/1/2004	Student Loan	0.33
9/1/2004	Other	0.41
9/1/2004	Total	8.833
12/1/2004	Mortgage	6.36
12/1/2004	HE Revolving	0.468
12/1/2004	Auto Loan	0.728
12/1/2004	Credit Card	0.717
12/1/2004	Student Loan	0.3457
12/1/2004	Other	0.4229
12/1/2004	Total	9.0416
3/1/2005	Mortgage	6.512
3/1/2005	HE Revolving	0.502
3/1/2005	Auto Loan	0.725
3/1/2005	Credit Card	0.71
3/1/2005	Student Loan	0.3636
3/1/2005	Other	0.3941
3/1/2005	Total	9.2067
6/1/2005	Mortgage	6.696
6/1/2005	HE Revolving	0.528
6/1/2005	Auto Loan	0.774
6/1/2005	Credit Card	0.717
6/1/2005	Student Loan	0.3744
6/1/2005	Other	0.4024
6/1/2005	Total	9.4918
9/1/2005	Mortgage	6.906
9/1/2005	HE Revolving	0.541
9/1/2005	Auto Loan	0.83
9/1/2005	Credit Card	0.732
9/1/2005	Student Loan	0.3777
9/1/2005	Other	0.4054
9/1/2005	Total	9.7921
12/1/2005	Mortgage	7.102
12/1/2005	HE Revolving	0.565
12/1/2005	Auto Loan	0.792
12/1/2005	Credit Card	0.736
12/1/2005	Student Loan	0.3917
12/1/2005	Other	0.4155
12/1/2005	Total	10.0022
3/1/2006	Mortgage	7.436
3/1/2006	HE Revolving	0.582
3/1/2006	Auto Loan	0.788
3/1/2006	Credit Card	0.723
3/1/2006	Student Loan	0.4345
3/1/2006	Other	0.4183
3/1/2006	Total	10.3818
6/1/2006	Mortgage	7.76
6/1/2006	HE Revolving	0.59
6/1/2006	Auto Loan	0.796
6/1/2006	Credit Card	0.739
6/1/2006	Student Loan	0.4389
6/1/2006	Other	0.4232
6/1/2006	Total	10.7471
9/1/2006	Mortgage	8.045
9/1/2006	HE Revolving	0.603
9/1/2006	Auto Loan	0.821
9/1/2006	Credit Card	0.754
9/1/2006	Student Loan	0.4467
9/1/2006	Other	0.4417
9/1/2006	Total	11.1114
12/1/2006	Mortgage	8.234
12/1/2006	HE Revolving	0.604
12/1/2006	Auto Loan	0.821
12/1/2006	Credit Card	0.767
12/1/2006	Student Loan	0.4816
12/1/2006	Other	0.4057
12/1/2006	Total	11.3133
3/1/2007	Mortgage	8.422
3/1/2007	HE Revolving	0.605
3/1/2007	Auto Loan	0.794
3/1/2007	Credit Card	0.764
3/1/2007	Student Loan	0.5064
3/1/2007	Other	0.4039
3/1/2007	Total	11.4953
6/1/2007	Mortgage	8.706
6/1/2007	HE Revolving	0.619
6/1/2007	Auto Loan	0.807
6/1/2007	Credit Card	0.796
6/1/2007	Student Loan	0.514
6/1/2007	Other	0.4078
6/1/2007	Total	11.8498
9/1/2007	Mortgage	8.925
9/1/2007	HE Revolving	0.631
9/1/2007	Auto Loan	0.818
9/1/2007	Credit Card	0.817
9/1/2007	Student Loan	0.5285004
9/1/2007	Other	0.413
9/1/2007	Total	12.1325004
12/1/2007	Mortgage	9.101
12/1/2007	HE Revolving	0.647
12/1/2007	Auto Loan	0.815
12/1/2007	Credit Card	0.839
12/1/2007	Student Loan	0.5475
12/1/2007	Other	0.4221
12/1/2007	Total	12.3716
3/1/2008	Mortgage	9.234
3/1/2008	HE Revolving	0.663
3/1/2008	Auto Loan	0.808
3/1/2008	Credit Card	0.837
3/1/2008	Student Loan	0.5792
3/1/2008	Other	0.4153
3/1/2008	Total	12.5365
6/1/2008	Mortgage	9.273
6/1/2008	HE Revolving	0.679
6/1/2008	Auto Loan	0.81
6/1/2008	Credit Card	0.85
6/1/2008	Student Loan	0.5863
6/1/2008	Other	0.4008
6/1/2008	Total	12.5991
9/1/2008	Mortgage	9.294
9/1/2008	HE Revolving	0.692
9/1/2008	Auto Loan	0.809
9/1/2008	Credit Card	0.858
9/1/2008	Student Loan	0.6109
9/1/2008	Other	0.4115
9/1/2008	Total	12.6754
12/1/2008	Mortgage	9.257
12/1/2008	HE Revolving	0.705
12/1/2008	Auto Loan	0.791
12/1/2008	Credit Card	0.866
12/1/2008	Student Loan	0.6393
12/1/2008	Other	0.4116
12/1/2008	Total	12.6699
3/1/2009	Mortgage	9.135
3/1/2009	HE Revolving	0.714
3/1/2009	Auto Loan	0.766
3/1/2009	Credit Card	0.843
3/1/2009	Student Loan	0.6628
3/1/2009	Other	0.4088
3/1/2009	Total	12.5296
6/1/2009	Mortgage	9.063
6/1/2009	HE Revolving	0.713
6/1/2009	Auto Loan	0.743
6/1/2009	Credit Card	0.824
6/1/2009	Student Loan	0.6754
6/1/2009	Other	0.3888
6/1/2009	Total	12.4072
9/1/2009	Mortgage	8.944
9/1/2009	HE Revolving	0.708
9/1/2009	Auto Loan	0.739
9/1/2009	Credit Card	0.812
9/1/2009	Student Loan	0.6945
9/1/2009	Other	0.3815
9/1/2009	Total	12.279
12/1/2009	Mortgage	8.843
12/1/2009	HE Revolving	0.7064
12/1/2009	Auto Loan	0.7219
12/1/2009	Credit Card	0.795
12/1/2009	Student Loan	0.7213
12/1/2009	Other	0.3785
12/1/2009	Total	12.1661
3/1/2010	Mortgage	8.834
3/1/2010	HE Revolving	0.6951
3/1/2010	Auto Loan	0.7047
3/1/2010	Credit Card	0.7624
3/1/2010	Student Loan	0.7578
3/1/2010	Other	0.3629
3/1/2010	Total	12.1169
6/1/2010	Mortgage	8.703
6/1/2010	HE Revolving	0.6826
6/1/2010	Auto Loan	0.7022
6/1/2010	Credit Card	0.7444
6/1/2010	Student Loan	0.7617
6/1/2010	Other	0.3491
6/1/2010	Total	11.943
9/1/2010	Mortgage	8.609
9/1/2010	HE Revolving	0.6734
9/1/2010	Auto Loan	0.71
9/1/2010	Credit Card	0.7311
9/1/2010	Student Loan	0.7782
9/1/2010	Other	0.3427
9/1/2010	Total	11.8444
12/1/2010	Mortgage	8.452
12/1/2010	HE Revolving	0.6678
12/1/2010	Auto Loan	0.711
12/1/2010	Credit Card	0.7296
12/1/2010	Student Loan	0.8118
12/1/2010	Other	0.341
12/1/2010	Total	11.7132
3/1/2011	Mortgage	8.544
3/1/2011	HE Revolving	0.6405
3/1/2011	Auto Loan	0.7056
3/1/2011	Credit Card	0.6964
3/1/2011	Student Loan	0.8392
3/1/2011	Other	0.3287
3/1/2011	Total	11.7544
6/1/2011	Mortgage	8.516
6/1/2011	HE Revolving	0.6245
6/1/2011	Auto Loan	0.713
6/1/2011	Credit Card	0.6943
6/1/2011	Student Loan	0.8514
6/1/2011	Other	0.3303
6/1/2011	Total	11.7295
9/1/2011	Mortgage	8.402
9/1/2011	HE Revolving	0.6387
9/1/2011	Auto Loan	0.7304
9/1/2011	Credit Card	0.6933
9/1/2011	Student Loan	0.8702
9/1/2011	Other	0.3266
9/1/2011	Total	11.6612
12/1/2011	Mortgage	8.268
12/1/2011	HE Revolving	0.6271
12/1/2011	Auto Loan	0.7341
12/1/2011	Credit Card	0.704
12/1/2011	Student Loan	0.8736
12/1/2011	Other	0.33
12/1/2011	Total	11.5368
3/1/2012	Mortgage	8.187
3/1/2012	HE Revolving	0.6118
3/1/2012	Auto Loan	0.7365
3/1/2012	Credit Card	0.6788
3/1/2012	Student Loan	0.90365613
3/1/2012	Other	0.3185
3/1/2012	Total	11.43625613
6/1/2012	Mortgage	8.147
6/1/2012	HE Revolving	0.589
6/1/2012	Auto Loan	0.75
6/1/2012	Credit Card	0.672
6/1/2012	Student Loan	0.914
6/1/2012	Other	0.312
6/1/2012	Total	11.384
9/1/2012	Mortgage	8.028
9/1/2012	HE Revolving	0.573
9/1/2012	Auto Loan	0.768
9/1/2012	Credit Card	0.674
9/1/2012	Student Loan	0.956
9/1/2012	Other	0.311
9/1/2012	Total	11.31
12/1/2012	Mortgage	8.033
12/1/2012	HE Revolving	0.563
12/1/2012	Auto Loan	0.783
12/1/2012	Credit Card	0.679
12/1/2012	Student Loan	0.966
12/1/2012	Other	0.317
12/1/2012	Total	11.341
3/1/2013	Mortgage	7.932
3/1/2013	HE Revolving	0.552
3/1/2013	Auto Loan	0.794
3/1/2013	Credit Card	0.66
3/1/2013	Student Loan	0.986
3/1/2013	Other	0.307
3/1/2013	Total	11.231
