"state","geo","date","hpi","year","month","type","hpa12","lat","long","metro.pop","fips","statename","division","region"
"AK","AK","1/1/1975",34.40008666,1975,1,"State",NA,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","2/1/1975",34.91119442,1975,2,"State",NA,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","3/1/1975",35.43431594,1975,3,"State",NA,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","4/1/1975",35.98026489,1975,4,"State",NA,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","5/1/1975",36.57678642,1975,5,"State",NA,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","6/1/1975",37.21558128,1975,6,"State",NA,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","7/1/1975",37.85443385,1975,7,"State",NA,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","8/1/1975",38.43644796,1975,8,"State",NA,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","9/1/1975",38.94344593,1975,9,"State",NA,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","10/1/1975",39.40458232,1975,10,"State",NA,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","11/1/1975",39.81614355,1975,11,"State",NA,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","12/1/1975",40.15835316,1975,12,"State",NA,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","1/1/1976",40.43322273,1976,1,"State",0.175381420681572,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","2/1/1976",40.66316487,1976,2,"State",0.164760058931264,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","3/1/1976",40.8754614,1976,3,"State",0.153555820555795,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","4/1/1976",41.08321329,1976,4,"State",0.141826315498257,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","5/1/1976",41.28871081,1976,5,"State",0.128822809524446,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","6/1/1976",41.48798014,1976,6,"State",0.114801346991079,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","7/1/1976",41.65842007,1976,7,"State",0.100489845788567,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","8/1/1976",41.79150284,1976,8,"State",0.0872883697133391,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","9/1/1976",41.95329548,1976,9,"State",0.0772877047246958,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","10/1/1976",42.20350802,1976,10,"State",0.0710304623272047,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","11/1/1976",42.53864441,1976,11,"State",0.0683768094361314,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","12/1/1976",42.94221779,1976,12,"State",0.0693221810891611,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","1/1/1977",43.37445458,1977,1,"State",0.0727429487785478,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","2/1/1977",43.77808957,1977,2,"State",0.076603105290953,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","3/1/1977",44.10561028,1977,3,"State",0.0790241570215033,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","4/1/1977",44.35592526,1977,4,"State",0.0796605646909465,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","5/1/1977",44.57050253,1977,5,"State",0.0794839958821181,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","6/1/1977",44.77870469,1977,6,"State",0.0793175406200914,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","7/1/1977",44.99667647,1977,7,"State",0.0801340135893445,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","8/1/1977",45.21637125,1977,8,"State",0.0819513101290521,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","9/1/1977",45.42432467,1977,9,"State",0.0827355551044782,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","10/1/1977",45.63888671,1977,10,"State",0.0814003112815169,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","11/1/1977",45.89543591,1977,11,"State",0.0789115766747583,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","12/1/1977",46.21876314,1977,12,"State",0.076301260592158,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","1/1/1978",46.60407246,1978,1,"State",0.074458985392964,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","2/1/1978",47.06890333,1978,2,"State",0.075170337315384,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","3/1/1978",47.64536171,1978,3,"State",0.0802562623559282,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","4/1/1978",48.29742706,1978,4,"State",0.0888607728707314,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","5/1/1978",48.95786127,1978,5,"State",0.0984363758754327,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","6/1/1978",49.54248165,1978,6,"State",0.106384876315188,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","7/1/1978",49.96334459,1978,7,"State",0.110378554809739,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
"AK","AK","8/1/1978",50.21668026,1978,8,"State",0.110586251655477,NA,NA,NA,2,"Alaska","Pacific Division","West Region"
