rate	x	count
0.125	2016	0
0.125	2017	0
0.125	2018	0
0.125	Longer run	0
0.25	2016	0
0.25	2017	0
0.25	2018	0
0.25	Longer run	0
0.375	2016	0
0.375	2017	0
0.375	2018	0
0.375	Longer run	0
0.5	2016	0
0.5	2017	0
0.5	2018	0
0.5	Longer run	0
0.625	2016	1
0.625	2017	0
0.625	2018	0
0.625	Longer run	0
0.75	2016	0
0.75	2017	0
0.75	2018	0
0.75	Longer run	0
0.875	2016	9
0.875	2017	0
0.875	2018	0
0.875	Longer run	0
1	2016	0
1	2017	0
1	2018	0
1	Longer run	0
1.125	2016	3
1.125	2017	0
1.125	2018	0
1.125	Longer run	0
1.25	2016	0
1.25	2017	0
1.25	2018	0
1.25	Longer run	0
1.375	2016	4
1.375	2017	0
1.375	2018	0
1.375	Longer run	0
1.5	2016	0
1.5	2017	0
1.5	2018	0
1.5	Longer run	0
1.625	2016	0
1.625	2017	4
1.625	2018	0
1.625	Longer run	0
1.75	2016	0
1.75	2017	0
1.75	2018	0
1.75	Longer run	0
1.875	2016	0
1.875	2017	5
1.875	2018	0
1.875	Longer run	0
2	2016	0
2	2017	0
2	2018	0
2	Longer run	0
2.125	2016	0
2.125	2017	3
2.125	2018	1
2.125	Longer run	0
2.25	2016	0
2.25	2017	0
2.25	2018	0
2.25	Longer run	0
2.375	2016	0
2.375	2017	3
2.375	2018	2
2.375	Longer run	0
2.5	2016	0
2.5	2017	0
2.5	2018	1
2.5	Longer run	0
2.625	2016	0
2.625	2017	1
2.625	2018	1
2.625	Longer run	0
2.75	2016	0
2.75	2017	1
2.75	2018	0
2.75	Longer run	0
2.875	2016	0
2.875	2017	0
2.875	2018	3
2.875	Longer run	0
3	2016	0
3	2017	0
3	2018	1
3	Longer run	5
3.125	2016	0
3.125	2017	0
3.125	2018	3
3.125	Longer run	0
3.25	2016	0
3.25	2017	0
3.25	2018	2
3.25	Longer run	7
3.375	2016	0
3.375	2017	0
3.375	2018	2
3.375	Longer run	0
3.5	2016	0
3.5	2017	0
3.5	2018	0
3.5	Longer run	2
3.625	2016	0
3.625	2017	0
3.625	2018	0
3.625	Longer run	0
3.75	2016	0
3.75	2017	0
3.75	2018	0
3.75	Longer run	2
3.875	2016	0
3.875	2017	0
3.875	2018	1
3.875	Longer run	0
4	2016	0
4	2017	0
4	2018	0
4	Longer run	1
