name	id	value	code	date	type
U.S.	2015.II	229.4	US	6/30/2015	level
U.S.	2015.III	228.9	US	9/30/2015	level
U.S.	2015.IV	222.3	US	12/31/2015	level
U.S.	2016.I	217.2	US	3/30/2016	level
U.S.	2016.II	240.7	US	6/30/2016	level
U.S.	Q2-Q2	0.049258936	US	6/30/2016	pc
NE	2015.II	269.3	region	6/30/2015	level
NE	2015.III	269.4	region	9/30/2015	level
NE	2015.IV	254.5	region	12/31/2015	level
NE	2016.I	249.4	region	3/30/2016	level
NE	2016.II	273.6	region	6/30/2016	level
NE	Q2-Q2	0.015967323	region	6/30/2016	pc
MW	2015.II	182	region	6/30/2015	level
MW	2015.III	181.1	region	9/30/2015	level
MW	2015.IV	171.4	region	12/31/2015	level
MW	2016.I	167.1	region	3/30/2016	level
MW	2016.II	191.3	region	6/30/2016	level
MW	Q2-Q2	0.051098901	region	6/30/2016	pc
SO	2015.II	202.9	region	6/30/2015	level
SO	2015.III	200.6	region	9/30/2015	level
SO	2015.IV	195	region	12/31/2015	level
SO	2016.I	192.1	region	3/30/2016	level
SO	2016.II	214.9	region	6/30/2016	level
SO	Q2-Q2	0.059142435	region	6/30/2016	pc
WE	2015.II	325.2	region	6/30/2015	level
WE	2015.III	324.5	region	9/30/2015	level
WE	2015.IV	323.6	region	12/31/2015	level
WE	2016.I	316.1	region	3/30/2016	level
WE	2016.II	346.5	region	6/30/2016	level
WE	Q2-Q2	0.065498155	region	6/30/2016	pc
"Abilene, TX"	2015.II	149.8	metro	6/30/2015	level
"Abilene, TX"	2015.III	156.3	metro	9/30/2015	level
"Abilene, TX"	2015.IV	155.5	metro	12/31/2015	level
"Abilene, TX"	2016.I	155.4	metro	3/30/2016	level
"Abilene, TX"	2016.II	164.3	metro	6/30/2016	level
"Abilene, TX"	Q2-Q2	0.096795728	metro	6/30/2016	pc
"Akron, OH"	2015.II	120.6	metro	6/30/2015	level
"Akron, OH"	2015.III	130.4	metro	9/30/2015	level
"Akron, OH"	2015.IV	113.5	metro	12/31/2015	level
"Akron, OH"	2016.I	107	metro	3/30/2016	level
"Akron, OH"	2016.II	131.1	metro	6/30/2016	level
"Akron, OH"	Q2-Q2	0.087064677	metro	6/30/2016	pc
"Albany-Schenectady-Troy, NY"	2015.II	206.6	metro	6/30/2015	level
"Albany-Schenectady-Troy, NY"	2015.III	218.3	metro	9/30/2015	level
