date	starts	err	down	up	month	mname	hmi				
01/01/2000	1636.00	3	1555.27	1716.73	1	Jan	69				
02/01/2000	1737.00	3	1651.29	1822.71	2	Feb	68				
03/01/2000	1604.00	3	1524.85	1683.15	3	Mar	64				
04/01/2000	1626.00	3	1545.76	1706.24	4	Apr	63				
05/01/2000	1575.00	3	1497.28	1652.72	5	May	63				
06/01/2000	1559.00	3	1482.07	1635.93	6	Jun	58				
07/01/2000	1463.00	3	1390.81	1535.19	7	Jul	59				
08/01/2000	1541.00	3	1464.96	1617.04	8	Aug	60				
09/01/2000	1507.00	3	1432.64	1581.36	9	Sep	60				
10/01/2000	1549.00	3	1472.56	1625.44	10	Oct	62				
11/01/2000	1551.00	3	1474.46	1627.54	11	Nov	63				
12/01/2000	1532.00	3	1456.40	1607.60	12	Dec	57				
01/01/2001	1600.00	3	1521.05	1678.95	1	Jan	52				
02/01/2001	1625.00	3	1544.81	1705.19	2	Feb	58				
03/01/2001	1590.00	3	1511.54	1668.46	3	Mar	60				
04/01/2001	1649.00	3	1567.63	1730.37	4	Apr	59				
05/01/2001	1605.00	3	1525.80	1684.20	5	May	58				
06/01/2001	1636.00	3	1555.27	1716.73	6	Jun	59				
07/01/2001	1670.00	3	1587.59	1752.41	7	Jul	57				
08/01/2001	1567.00	3	1489.68	1644.32	8	Aug	59				
09/01/2001	1562.00	3	1484.92	1639.08	9	Sep	55				
10/01/2001	1540.00	3	1464.01	1615.99	10	Oct	46				
11/01/2001	1602.00	3	1522.95	1681.05	11	Nov	48				
12/01/2001	1568.00	3	1490.63	1645.37	12	Dec	55				
01/01/2002	1698.00	3	1614.21	1781.79	1	Jan	58				
02/01/2002	1829.00	3	1738.75	1919.25	2	Feb	58				
03/01/2002	1642.00	3	1560.97	1723.03	3	Mar	62				
04/01/2002	1592.00	3	1513.44	1670.56	4	Apr	61				
05/01/2002	1764.00	3	1676.95	1851.05	5	May	61				
06/01/2002	1717.00	3	1632.27	1801.73	6	Jun	61				
07/01/2002	1655.00	3	1573.33	1736.67	7	Jul	61				
08/01/2002	1633.00	3	1552.42	1713.58	8	Aug	55				
09/01/2002	1804.00	3	1714.98	1893.02	9	Sep	63				
10/01/2002	1648.00	3	1566.68	1729.32	10	Oct	61				
11/01/2002	1753.00	3	1666.50	1839.50	11	Nov	62				
12/01/2002	1788.00	3	1699.77	1876.23	12	Dec	63				
01/01/2003	1853.00	3	1761.56	1944.44	1	Jan	62				
02/01/2003	1629.00	3	1548.62	1709.38	2	Feb	63				
03/01/2003	1726.00	3	1640.83	1811.17	3	Mar	56				
04/01/2003	1643.00	3	1561.93	1724.07	4	Apr	55				
05/01/2003	1751.00	3	1664.60	1837.40	5	May	60				
06/01/2003	1867.00	3	1774.87	1959.13	6	Jun	63				
07/01/2003	1897.00	3	1803.39	1990.61	7	Jul	65				
08/01/2003	1833.00	3	1742.55	1923.45	8	Aug	67				
09/01/2003	1939.00	3	1843.32	2034.68	9	Sep	67				
10/01/2003	1967.00	3	1869.94	2064.06	10	Oct	69				
11/01/2003	2083.00	3	1980.21	2185.79	11	Nov	68				
12/01/2003	2057.00	3	1955.50	2158.50	12	Dec	69				
01/01/2004	1911.00	3	1816.70	2005.30	1	Jan	68				
02/01/2004	1846.00	3	1754.91	1937.09	2	Feb	66				
03/01/2004	1998.00	3	1899.41	2096.59	3	Mar	66				
04/01/2004	2003.00	3	1904.16	2101.84	4	Apr	69				
05/01/2004	1981.00	3	1883.25	2078.75	5	May	69				
06/01/2004	1828.00	3	1737.80	1918.20	6	Jun	68				
07/01/2004	2002.00	3	1903.21	2100.79	7	Jul	67				
08/01/2004	2024.00	3	1924.12	2123.88	8	Aug	70				
09/01/2004	1905.00	3	1811.00	1999.00	9	Sep	67				
10/01/2004	2072.00	3	1969.76	2174.24	10	Oct	69				
11/01/2004	1782.00	3	1694.07	1869.93	11	Nov	70				
12/01/2004	2042.00	3	1941.24	2142.76	12	Dec	71				
01/01/2005	2144.00	3	2038.20	2249.80	1	Jan	70				
02/01/2005	2207.00	3	2098.09	2315.91	2	Feb	69				
03/01/2005	1864.00	3	1772.02	1955.98	3	Mar	70				
04/01/2005	2061.00	4	1925.40	2196.60	4	Apr	67				
05/01/2005	2025.00	3	1925.08	2124.92	5	May	70				
06/01/2005	2068.00	3	1965.95	2170.05	6	Jun	72				
07/01/2005	2054.00	3	1952.64	2155.36	7	Jul	70				
08/01/2005	2095.00	3	1991.62	2198.38	8	Aug	67				
09/01/2005	2151.00	3	2044.86	2257.14	9	Sep	65				
10/01/2005	2065.00	3	1963.10	2166.90	10	Oct	68				
11/01/2005	2147.00	3	2041.05	2252.95	11	Nov	61				
12/01/2005	1994.00	3	1895.60	2092.40	12	Dec	57				
01/01/2006	2273.00	3	2160.84	2385.16	1	Jan	57				
02/01/2006	2119.00	3	2014.44	2223.56	2	Feb	56				
03/01/2006	1969.00	4	1839.45	2098.55	3	Mar	54				
04/01/2006	1821.00	4	1701.19	1940.81	4	Apr	51				
05/01/2006	1942.00	3	1846.17	2037.83	5	May	46				
06/01/2006	1802.00	3	1713.08	1890.92	6	Jun	42				
07/01/2006	1737.00	3	1651.29	1822.71	7	Jul	39				
08/01/2006	1650.00	3	1568.58	1731.42	8	Aug	33				
09/01/2006	1720.00	4	1606.83	1833.17	9	Sep	30				
10/01/2006	1491.00	4	1392.90	1589.10	10	Oct	31				
11/01/2006	1570.00	4	1466.70	1673.30	11	Nov	33				
12/01/2006	1649.00	4	1540.51	1757.49	12	Dec	33				
01/01/2007	1409.00	4	1316.30	1501.70	1	Jan	35				
02/01/2007	1480.00	4	1382.62	1577.38	2	Feb	39				
03/01/2007	1495.00	4	1396.64	1593.36	3	Mar	36				
04/01/2007	1490.00	4	1391.97	1588.03	4	Apr	33				
05/01/2007	1415.00	4	1321.90	1508.10	5	May	30				
