date	starts	pop	st.pop	month	year
1/1/1959	1657	114582	0.014461259	1	1959
2/1/1959	1667	114712	0.014532045	2	1959
3/1/1959	1620	114849	0.014105478	3	1959
4/1/1959	1590	114986	0.01382777	4	1959
5/1/1959	1498	115144	0.013009796	5	1959
6/1/1959	1503	115287	0.013037029	6	1959
7/1/1959	1547	115429	0.013402178	7	1959
8/1/1959	1430	115555	0.012375059	8	1959
9/1/1959	1540	115668	0.013313968	9	1959
10/1/1959	1355	115798	0.011701411	10	1959
11/1/1959	1416	115916	0.012215742	11	1959
12/1/1959	1601	116040	0.013796967	12	1959
1/1/1960	1460	116594	0.012522085	1	1960
2/1/1960	1503	116702	0.012878957	2	1960
3/1/1960	1109	116827	0.009492669	3	1960
4/1/1960	1289	116910	0.011025575	4	1960
5/1/1960	1271	117033	0.010860185	5	1960
6/1/1960	1247	117167	0.010642928	6	1960
7/1/1960	1197	117281	0.010206257	7	1960
8/1/1960	1344	117431	0.011445019	8	1960
9/1/1960	1097	117521	0.009334502	9	1960
10/1/1960	1246	117643	0.010591365	10	1960
11/1/1960	1246	117829	0.010574646	11	1960
12/1/1960	1063	118001	0.009008398	12	1960
1/1/1961	1183	118155	0.010012272	1	1961
2/1/1961	1226	118250	0.010367865	2	1961
3/1/1961	1312	118358	0.011085013	3	1961
4/1/1961	1166	118503	0.009839413	4	1961
5/1/1961	1228	118638	0.010350815	5	1961
6/1/1961	1382	118767	0.011636229	6	1961
7/1/1961	1335	118889	0.011228961	7	1961
8/1/1961	1312	119006	0.011024654	8	1961
9/1/1961	1429	119107	0.011997616	9	1961
10/1/1961	1415	119202	0.011870606	10	1961
11/1/1961	1385	119153	0.011623711	11	1961
12/1/1961	1365	119214	0.011449997	12	1961
1/1/1962	1361	119300	0.011408215	1	1962
2/1/1962	1278	119360	0.010707105	2	1962
3/1/1962	1443	119476	0.012077739	3	1962
4/1/1962	1524	119702	0.012731617	4	1962
5/1/1962	1483	119813	0.012377622	5	1962
6/1/1962	1404	119943	0.01170556	6	1962
7/1/1962	1450	120128	0.012070458	7	1962
8/1/1962	1517	120323	0.012607731	8	1962
9/1/1962	1324	120653	0.010973619	9	1962
10/1/1962	1533	120856	0.012684517	10	1962
11/1/1962	1622	121045	0.013399975	11	1962
12/1/1962	1564	121236	0.012900459	12	1962
1/1/1963	1244	121463	0.010241802	1	1963
2/1/1963	1456	121633	0.011970436	2	1963
3/1/1963	1534	121824	0.012591936	3	1963
4/1/1963	1689	121986	0.013845851	4	1963
5/1/1963	1641	122162	0.013432982	5	1963
6/1/1963	1588	122352	0.012978946	6	1963
7/1/1963	1614	122521	0.013173252	7	1963
8/1/1963	1639	122667	0.013361377	8	1963
9/1/1963	1763	122821	0.014354223	9	1963
10/1/1963	1779	123014	0.014461769	10	1963
11/1/1963	1622	123192	0.013166439	11	1963
12/1/1963	1491	123360	0.012086576	12	1963
1/1/1964	1603	123560	0.012973454	1	1964
2/1/1964	1820	123707	0.014712183	2	1964
3/1/1964	1517	123857	0.012247996	3	1964
4/1/1964	1448	124019	0.01167563	4	1964
5/1/1964	1467	124204	0.011811214	5	1964
6/1/1964	1550	124386	0.012461209	6	1964
7/1/1964	1562	124567	0.012539437	7	1964
8/1/1964	1569	124731	0.01257907	8	1964
