year	mname	tsales	month
2016	Jan	341	1
2016	Feb	359	2
2016	Mar	470	3
2016	Apr	527	4
2016	May	577	5
2016	Jun		6
2016	Jul		7
2016	Aug		8
2016	Sep		9
2016	Oct		10
2016	Nov		11
2016	Dec		12
2015	Jan	320	1
2015	Feb	340	2
2015	Mar	451	3
2015	Apr	497	4
2015	May	542	5
2015	Jun	616	6
2015	Jul	594	7
2015	Aug	545	8
2015	Sep	506	9
2015	Oct	483	10
2015	Nov	387	11
2015	Dec	474	12
2014	Jan	314	1
2014	Feb	317	2
2014	Mar	394	3
2014	Apr	481	4
2014	May	516	5
2014	Jun	544	6
2014	Jul	529	7
2014	Aug	515	8
2014	Sep	473	9
2014	Oct	481	10
2014	Nov	382	11
2014	Dec	448	12
2013	Jan	323	1
2013	Feb	340	2
2013	Mar	428	3
2013	Apr	497	4
2013	May	554	5
2013	Jun	543	6
2013	Jul	552	7
2013	Aug	549	8
2013	Sep	458	9
2013	Oct	460	10
2013	Nov	394	11
2013	Dec	418	12
2012	Jan	283	1
2012	Feb	317	2
2012	Mar	394	3
2012	Apr	434	4
2012	May	483	5
2012	Jun	497	6
2012	Jul	463	7
2012	Aug	507	8
2012	Sep	402	9
2012	Oct	430	10
2012	Nov	413	11
2012	Dec	402	12
2011	Jan	268	1
2011	Feb	275	2
2011	Mar	375	3
2011	Apr	405	4
2011	May	419	5
2011	Jun	468	6
2011	Jul	412	7
2011	Aug	454	8
2011	Sep	393	9
2011	Oct	368	10
2011	Nov	358	11
2011	Dec	373	12
2010	Jan	258	1
2010	Feb	285	2
2010	Mar	402	3
2010	Apr	484	4
2010	May	475	5
2010	Jun	500	6
2010	Jul	357	7
2010	Aug	375	8
2010	Sep	346	9
2010	Oct	330	10
2010	Nov	324	11
2010	Dec	36	12
2009	Jan	242	1
2009	Feb	267	2
2009	Mar	335	3
2009	Apr	381	4
2009	May	410	5
2009	Jun	475	6
2009	Jul	480	7
2009	Aug	453	8
2009	Sep	422	9
2009	Oct	451	10
2009	Nov	421	11
2009	Dec	371	12
2008	Jan	279	1
2008	Feb	310	2
2008	Mar	365	3
2008	Apr	413	4
2008	May	452	5
2008	Jun	466	6
2008	Jul	461	7
2008	Aug	447	8
2008	Sep	404	9
2008	Oct	381	10
2008	Nov	300	11
2008	Dec	331	12
2007	Jan	390	1
2007	Feb	415	2
2007	Mar	516	3
2007	Apr	541	4
2007	May	590	5
2007	Jun	609	6
2007	Jul	567	7
2007	Aug	570	8
2007	Sep	418	9
2007	Oct	430	10
2007	Nov	388	11
2007	Dec	364	12
2006	Jan	463	1
2006	Feb	490	2
2006	Mar	662	3
2006	Apr	660	4
2006	May	744	5
2006	Jun	797	6
2006	Jul	688	7
2006	Aug	742	8
2006	Sep	609	9
2006	Oct	592	10
2006	Nov	543	11
2006	Dec	540	12
